,id,question,answer,facts,decomposition,cluster,index
1093,d4803e3857fb8b51df5b,Does Fraktur have a sordid history?,Yes,"['Fraktur is a type of font that originated in Germany.', 'Fraktur was used on official Nazi documents.', ""Fraktur was used on the cover of Hitler's Mein Kampf.""]","['What is Fraktur?', 'Which group in Germany used #1 for their official documents?', 'Did #2 have a sordid past?']",4,435
1255,48f842fbfb229d784bd4,Is the voice of the Genie from Disney's Aladdin still alive?,No,"['The Genie was voiced by comedian Robin Williams.', 'Robin Williams died in 2014.']","['Who provided the voice of the Genie in Aladdin?', 'Is #1 still alive?']",0,1196
549,e9e2b22b193fcca2a976,Would someone buying crickets be likely to own pets?,Yes,"['Reptiles are a popular pet for people.', 'Reptiles enjoy eating crickets. ', 'Crickets are sold at many pet stores.']","['What are some common animal classes that people keep as pets?', 'Do any of #1 usually eat crickets?']",1,256
1290,a2a5a06a55c24bf2d408,Do women often need new shoes during their pregnancy?,Yes,"['Pregnancy can cause swelling in the feet and legs.', 'For safety and comfort, one needs to get new shoes if the size of their feet change.']","['Which signs and symptoms of pregnancy in women affect the lower extremities?', 'Do #1 lead to a change in size of affected areas?']",2,1626
1159,956ca4e81d4ec39ab11a,Does Guam have a state capital?,No,"['Guam is not a state.', 'Only states can have a state capital.']","['Is Guam a country or state?', 'Does #1 have state capitals?']",3,1353
962,904898291b7b33f260e7,Would Jacques Duèze have been friends with Richard Dawkins?,No,"['Jacques Duèze was later Pope John XXII.', 'The Pope is the head of the Catholic Church, a Christian organization.', 'Christianity is a religion.', 'Richard Dawkins is a prominent critic of religion.']","['What is the occupation of Jacques Duèze?', 'In what field or industry is #1?', 'Is #2 a field or industry which Richard Dawkins supports?']",4,1666
1615,f4ac300578dfab653d3f,Has type of political association Pompey had with Caesar influenced reality TV?,Yes,"['Pompey, Julius Caesar, and Marcus Licinius Crassus formed a political association called a triumvirate.', 'A triumvirate spits rule between three powerful people that get to make decisions.', 'Reality show The Challenge: Total Madness appoints three weekly winners to make decisions for the group, known as the Tribunal.', 'Reality show American Idol has had three judges making decisions about which contestants advance.']","['Which political association did Pompey form with Julius Caesar and Marcus Licinius Crassus?', 'How many people does #1 typically involve?', 'How many judges are on reality show American Idol?', 'Is #2 equal to #3?']",0,825
1234,0d2746ffc1870126ee29,Would the average Hawaiian male experience more days on Earth compared to a wild cane toad?,Yes,"['Cane toads have a life expectancy of 10 to 15 years in the wild.', 'The average life expectancy of a male born in Hawaii is 79.3 years as of 2018.']","['What is the average lifespan of an average Hawaiian male?', 'What is the average lifespan of a wild cane toad?', 'Is #1 greater than #2?']",1,1441
758,d82193894aa1c12fbc40,Do workers at Nissan's headquarters eat with chopsticks?,Yes,"[""Nissan's headquarters are located in Yokohama, Japan."", 'It is customary to eat with chopsticks in East Asian countries.', 'Japan is a country in East Asia.']","[""Where is Nissan's headquarters located?"", 'Do people living in #1 usually eat with chopsticks?']",2,182
1244,4ceb5ba3fb64a5f89a59,Do most people only memorize slightly over half of their ZIP code?,Yes,"['ZIP codes in the US are 9 digits in length. ', 'Most forms in the US only require and have space for the first 5 digits of a ZIP code?']","['How long are zip codes in the US?', 'When forms ask for zip codes, how many spaces do they typically request?', 'Is #2 less than #1?']",3,886
831,3a61dcbed7e358b3aee8,Can 200 men end to end cover Great Pyramid of Giza's base?,Yes,"['The base of the Great Pyramid of Giza is 756 feet long.', 'The average height of a man is 5 foot 9.']","['What is the height in inches of the average man?', 'What is length in inches of the base of The Great Pyramid of Giza?', 'What is 200 times #1?', 'Is #3 more than #2?']",4,799
1615,f4ac300578dfab653d3f,Has type of political association Pompey had with Caesar influenced reality TV?,Yes,"['Pompey, Julius Caesar, and Marcus Licinius Crassus formed a political association called a triumvirate.', 'A triumvirate spits rule between three powerful people that get to make decisions.', 'Reality show The Challenge: Total Madness appoints three weekly winners to make decisions for the group, known as the Tribunal.', 'Reality show American Idol has had three judges making decisions about which contestants advance.']","['Which political association did Pompey form with Julius Caesar and Marcus Licinius Crassus?', 'How many people does #1 typically involve?', 'How many judges are on reality show American Idol?', 'Is #2 equal to #3?']",0,825
1812,028eda7ded7825edb6eb,Is a felony jury enough people for a Bunco game?,Yes,"['Felonies and other serious crimes have a jury of 12 people.', 'Bunco is a parlour game requiring 12 or more players.']","['How many people are on a felony criminal jury?', 'How many players are needed for a game of Bunco?', 'Is #2 the same or less than #1?']",1,1325
685,3756f2a4b805deba01b6,Is breakdancing safe for people with tendonitis?,No,"['Tendonitis is a condition where the joints are inflamed.', 'Strong motions in joints suffering from tendonitis can result in damage to nerves.', 'Breakdancing is a style of dance that involves many vigorous motions.', 'The downrock breakdancing maneuver involves balancing the body weight on the floor using one arm.']","['What are the symptoms of tendonitis?', 'Which kind of movements are involved in breakdancing?', 'Are #2 safe when experiencing #1?']",2,759
1687,fc712fb2286006222e50,Is it dark is Basel during the day in Los Angeles?,Yes,"['Basel is located in the CEST time zone.', 'Los Angeles is located in the PDT time zone.']","['What time zone is Basel in?', 'What time zone is Los Angeles in?', 'What is the time difference in hours between #1 and #2?', 'Is #3 at least equal to 8?']",3,718
66,97d147b2e3e29fa85a71,Does Ukrainian Greek Catholic Church recognize Alexander Nevsky as a saint?,No,"['Alexander Nevsky was a Prince of Novgorod that fought against German and Swiss Invaders.', 'The Russian Orthodox Church named Alexander Nevsky.a saint in 1547.', 'The Russian Orthodox Church is a member of the Eastern Orthodox Church and has their own list of saints.', 'The Catholic Church and the Eastern Orthodox Church have been in a state of official schism since the East–West Schism of 1054.', 'The Ukrainian Greek Catholic Church is a branch of the Catholic Church.']","['In which religion is Alexander Nevsky considered a saint?', 'What religion is the Ukrainian Greek Catholic Church a part of?', 'Is #1 and #2 the same?']",4,567
1600,5058960a0fd4c1af7f0c,Is Lionel Richie related to Sheila E?,No,"['Lionel Richie is an American singer and raised Nicole Richie.', ""Nicole Richie was born to Sheila E's brother, Peter Michael Escovedo."", 'Lionel Richie adopted Nicole Richie from Peter Michael Escovedo.', 'Adoptive parents are not considered related to birth parents.']","['What is the relationship between Lionel Richie and Nicole Richie?', 'Are #1 considered related to birth parents?']",0,1284
1184,3176e76e4fa2af4e62b0,Would downloading Mario 64 on an emulator be legal?,No,"['Mario 64 is licenced to Nintendo Entertainment.', 'Nintendo holds a copyright on all of their Mario games.']","['What company is Mario 64 licensed to?', 'What does #1 hold on Mario 64?', 'Is it legal to download Mario 64 if it is #2?']",1,712
883,361f7e0cd93f9826b7f6,Is myocardial infarction a brain problem?,No,"['Myocardial infarction is a problem in the heart.', 'The equivalent in the brain would be similar to a stroke.']","['Which organ in the body does myocardial infarction affect?', 'Is #1 the same as the brain?']",2,792
1770,85a99480c6fb0177f4c7,Will you see peach blossoms and Andromeda at the same time?,No,"['Peach trees bloom in the spring.', 'Andromeda is visible in the fall.']","['When do peach trees bloom?', 'When can you see Andromeda?', 'Is #1 the same as #2?']",3,1613
1470,026a34caa057f988a881,Was Michael Crichton ever in danger of flunking out of Harvard as an undergraduate?,No,"['Scholastic probation or academic dismissal, sometimes known as flunking out, is the termination of students at a higher educational institution as the result of poor academic achievement.', ""Michael Crichton obtained his bachelor's degree in biological anthropology summa cum laude in 1964."", 'Summa cum laude is the highest distinction a person can achieve in college for academic success.', 'Someone who achieves summa cum laude cannot have even a single semester of poor grades.']","['What grade is considered flunking in US colleges?', 'What honors did Michael Crichton graduate with?', 'Can someone achieve #2 with grades of #1?']",4,1668
1420,e2e70b3a5a5221852041,Will Dustin Hoffman likely vote for Trump in 2020?,No,"['Dustin Hoffman is a liberal and has long supported the Democratic Party and Ralph Nader.', 'Donald Trump belongs to the Republican Party.']","[""What is Dustin Hoffman's political party affiliation?"", 'What party is Donald Trump affiliated with?', 'Is someone from #1 likely to vote for a candidate from #2?']",0,1743
1495,caddf0bcf06640844a4c,Could William Franklyn-Miller win a 2020 Nascar Cup Series race?,No,"['William Franklyn-Miller is an actor known for the TV series Medici: The Magnificent.', 'William Franklyn-Miller turned 16 in March of 2020.', 'Nascar Cup Series races have a minimum age of 18.']","['Who is William Franklyn-Miller?', 'How old is #1?', 'What is the minimum age to join the Nascar Cup Series?', 'Is #2 larger than #3?']",1,1419
904,b1c014fc0205f28e8101,Would Cardi B. benefit from soy milk?,Yes,"['Cardi B became lactose intolerant in her early twenties.', 'People who are lactose intolerant cannot have dairy.', 'Soy milk is an alternative to dairy milk.']","['What food intolerance does Cardi B. suffer from?', 'What must people with #1 avoid?', 'Is soy milk free from #2?']",2,295
1687,fc712fb2286006222e50,Is it dark is Basel during the day in Los Angeles?,Yes,"['Basel is located in the CEST time zone.', 'Los Angeles is located in the PDT time zone.']","['What time zone is Basel in?', 'What time zone is Los Angeles in?', 'What is the time difference in hours between #1 and #2?', 'Is #3 at least equal to 8?']",3,718
639,46428dac0ceefa1ad73b,Would Eric Clapton's mother hypothetically be unable to legally purchase cigarettes in the USA at his birth?,Yes,"[""Eric Clapton's mother was 16 years old at the time of his birth."", 'As of 2020, federal law required states comply with a minimum age of 21 years for sale/purchase of tobacco products.']","[""How old was Eric Clapton's mom when he was born?"", 'How old must you be to legally buy cigarettes in the USA?', 'Is #2 greater than #1?']",4,768
669,e26a5601edb90a738d56,Will Futurama surpass the number of episodes of The Simpsons by the end of 2020?,No,"['Futurama was cancelled in 2013.', 'The Simpsons is still creating new episodes as of May 2020.', 'Futurama aired 140 total episodes.', 'The Simpsons has aired over 600 episodes.']","['How many episodes of Futurama have been produced to date?', 'How many episodes of the Simpsons has been produced to date?', 'Is #1 greater than #2?']",0,81
345,73defbf5e28a5bacdb7d,Would it be difficult to host Stanley Cup Finals at Rock in Rio?,Yes,"['The Stanley Cup Finals is the last series in hockey each year.', 'Hockey rinks are indoors and require ice for players to skate on.', 'Rock in Rio is a massive outdoor music festival in Brazil.', 'Rock in Rio takes place in June each year.', 'The temperature in Brazil during June averages around 80F.']","['Which sport has the Stanley Cup Finals?', 'Which kind of surface is required to play #1?', 'What time of the year does Rock in Rio take place, and where?', 'Do weather conditions in #3 at that time not favor the formation of #2?']",1,977
49,3d01af5db202bc7d33b9,Would someone in Mumbai refer to Solanum melongena as an eggplant?,No,"['Mumbia is a city in India.', 'India is a country located in South Asia.', 'In South Asia the Solanum melongena plant is referred to as a brinjal.']","['In what country Mumbai located?', 'In what region is #1 located?', 'What is Solanum melongena referred to as in #2?', 'Is #3 the word ""eggplant""?']",2,573
2113,7460108c3996aca011d5,Does Home Depot sell item in late September zodiac sign symbol?,Yes,"['The zodiac sign for late September is Libra.', 'The Libra zodiac sign is represented by scales. ', 'Home Depot sells a number of scales including Pelouze and Ozeri brands.']","['What is the zodiac sign that represents late September?', 'What is symbol of #1?', 'What kinds of goods (and services) does The Home Depot deal in?', 'Is #2 likely to be included in #3?']",3,1644
1166,55a0154c4a5dd692c046,Was Mercedes-Benz associated with the Nazis?,Yes,"['During the 1930s, Mercedes-Benz produced the 770 model.', 'The 770 was popular with Nazis, and Adolf Hitler used them as his personal vehicle.']","['Which Mercedes-Benz model was made during the 1930s?', 'Was #1 popular among the Nazis?']",4,1747
1219,784d37fe54b0ad49c49a,"Is there a jukebox musical about a sweet transvestite from Transexual, Transylvania?",No,"['Jukebox musicals feature songs that have already been released.', 'Rocky Horror Picture Show is about a sweet transvestite from Transexual, Transylvania', 'Rocky Horror Picture Show contains songs written specifically for itself']","['What is characteristic of songs in a jukebox musical?', 'What musical is about a sweet transvestite from Transexual, Transylvania?', 'Does #2 contain #1?']",0,721
2117,150492a2590b8447707b,Can a sesame seed grow in the human body?,No,"['Seeds need water, oxygen, and light to grow.', 'The human digestive system releases powerful acid that dissolves food.']","['What does a seed need in order to germinate?', 'Can all of #1 be found inside the human body?']",1,284
999,ec71dcb7d6ace3e73ef9,Is shoe soup innocuous?,Yes,"['Soup is a primarily liquid food containing various meats and beans.', 'Director Werner Herzog lost a bet and cooked his shoe into a soup and ate it in 1980.', 'Werner Herzog turned 77 in 2019 and had a role in the hit TV series the Mandalorian.']","['What film director ate shoe soup in the year 1980?', 'Is #1 still alive?']",2,828
963,08271060e7c75ea1e8b8,Should a finished website have lorem ipsum paragraphs?,No,"['Lorem Ipsum paragraphs are meant to be temporary.', 'Web designers always remove lorem ipsum paragraphs before launch.']","['What is a lorem ipsum paragraph? ', 'Is #1 good to have on a website?']",3,269
2116,bfb90783262ec0da7d31,Did the Watergate scandal help the Republican party?,No,"[""Watergate resulted in President Nixon's resignation."", 'President Nixon was a Republican.', ""Nixon's resignation resulted in major Democratic gains in Congress during the next election.""]","['Which central figure resigned as a result of the Watergate scandal?', 'Was #1 a member of the Republican party?', 'Did the scandal affect the Republican party negatively in following elections?', 'Is #2 or #3 negative?']",4,1589
