,id,question,answer,facts,decomposition,cluster,index
1293,9cf2cfed8753e1a1a3dc,Can an anchovy born in 2020 survive 25th US census?,No,"['The US Census takes place every ten years.', 'The 24th US Census took place in 2020.', 'The 25th US Census will take place in 2030.', 'The average lifespan of an anchovy is five years.']","['What is the ordinal number of the 2020 U.S. Census?', 'How many years after #1 wll the 25th census occur?', 'What is the maximum life span of an anchovy?', 'Is #3 greater than #2?']",3,588
1009,1a015715a9ffcfb67c8e,Are honey badgers and hyenas anatomically dissimilar? ,No,"['Honey Badgers and Hyenas both have anal sacs.', 'The anal sacs of Honey Badgers and Hyenas are both able to turn inside out.']","['What are the features of the anal sacs of the Honey Badgers?', ""What are the features of the Hyenas' anal sacs?"", 'Is #1 anatomically dissimilar from #2?']",4,61
1926,14f5ccb693d62b4397ee,Is Christopher Walken close to achieving EGOT status?,No,"['EGOT refers to people that have won an Emmy, a Grammy, an Oscar, and a Tony Award.', 'Christopher Walken won the Oscar in 1979 for Best Actor in a Supporting Role.', 'Christopher Walken was nominated for two Tony Awards but has never won.', 'Christopher Walken was nominated for an Emmy Award but has never won.', 'Christopher Walken has never been nominated for a Grammy.']","['What awards are included in EGOT?', 'What entertainment awards has Christopher Walken won?', 'Do the awards listed in #2 belong to at least 3 different awards listed in #1?']",0,1762
229,1051df8b6730dcd1b34f,Would a customer be happy if their grocery store meat tasted like game?,No,"['""Gamey"" is a word used to describe meat with a grassier, more wild taste.', 'Gaminess in supermarket meat is very unusual.', 'Many people find game to be unpleasant in taste.']","['Which kind of meat is referred to as game?', 'Are grocery store customers accustomed to #1?']",1,93
1864,e6fc47d0cb907a7ee266,Is strep throat harmless to singer Rita Ora after her 2020 tonsilitis surgery?,No,"['Tonsilitis is an inflammation of the tonsils.', 'Singer Rita Ora had her tonsils removed in February of 2020 due to tonsilitis.', 'Strep throat can still grow in the throat of people without tonsils.']","['What causes strep throat?', 'Does #1 only flourish when tonsils are present?']",2,655
771,515231a39af241acbf14,Does Southwest Airlines use bulk carriers?,Yes,"['Southwest Airlines requires jet fuel, which is brought in by bulk carrier transport.', 'Southwest Airlines requires glycol for de-icing their planes, which is brought in by bulk transport.']","['Which vehicles does Southwest Airlines use to provide their services?', 'What are some common products needed for the running and maintenance of #1?', 'Would Southwest Airlines require #2 in quantities large enough for bulk carriers?']",3,789
1093,d4803e3857fb8b51df5b,Does Fraktur have a sordid history?,Yes,"['Fraktur is a type of font that originated in Germany.', 'Fraktur was used on official Nazi documents.', ""Fraktur was used on the cover of Hitler's Mein Kampf.""]","['What is Fraktur?', 'Which group in Germany used #1 for their official documents?', 'Did #2 have a sordid past?']",4,435
2046,960c1546ad5913f5c302,Did U2 play a concert at the Polo Grounds?,No,"['U2 is an Irish rock band that formed in 1976.', 'The Polo Grounds was a sports stadium that was demolished in 1964.']","['When was U2 (Irish rock band) formed?', 'When was the Polo Grounds demolished?', 'Is #1 before #2?']",0,1238
1025,cc6e607ec6b68023be26,"Can you fit every resident of Auburn, New York, in Tropicana Field?",Yes,"['The capacity of Tropicana Field is 36,973', 'The population of Auburn, NY is 27,687']","['What is the capacity of Tropicana Field?', 'What is the population of Auburn, NY?', 'Is #1 greater than #2?']",1,1153
392,8b41a17e65ef7f6e22b5,"During the pandemic, is door to door advertising considered inconsiderate?",Yes,"['Door to door advertising involves someone going to several homes in a residential area to make sales and leave informational packets.', 'During the COVID-19 pandemic, the CDC recommends that people limit their travel to essential needs only.', 'During the COVID-19 pandemic, citizens are advised to stay home and to limit their interaction with others.', 'During the COVID-19 pandemic, people are encouraged to remain six feet away from each other at all times.', 'The more people that someone interacts with, the higher the likelihood of them becoming a vector for the COVID-19 virus.']","['What does door to door advertising involve a person to do?', 'During the COVID-19 pandemic, what does the CDC advise people to do in terms of traveling?', 'During the COVID-19 pandemic, what does the CDC advise people to do in terms of interaction with others?', 'Does doing #1 go against #2 and #3?']",2,231
144,4ba70839df733c61f9a5,Do you need to worry about Zika virus in Antarctica? ,No,"['Mosquitoes cannot survive in the climate of Antarctica.', 'Zika virus is primarily spread through mosquito bites. ']","['What animal spreads the Zika Virus?', 'What is the climate of Antarctica?', 'Can #1 survive in #2?']",3,642
1329,598be3dcddbd7775a827,Could Bob Marley's children hypothetically win tug of war against Kublai Khan's children?,No,"['Bob Marley had 9 children.', 'Kublai Khan had 23 children.', ""Many of Bob Marley's children became singers, and followed his themes of peace and love."", 'The children of Kublai Khan followed in his footsteps and were fierce warlords.']","['How many children did Bob Marley have?', 'How many children did Kublai Khan have?', 'Is #1 greater than #2?']",4,1516
1600,5058960a0fd4c1af7f0c,Is Lionel Richie related to Sheila E?,No,"['Lionel Richie is an American singer and raised Nicole Richie.', ""Nicole Richie was born to Sheila E's brother, Peter Michael Escovedo."", 'Lionel Richie adopted Nicole Richie from Peter Michael Escovedo.', 'Adoptive parents are not considered related to birth parents.']","['What is the relationship between Lionel Richie and Nicole Richie?', 'Are #1 considered related to birth parents?']",0,1284
1184,3176e76e4fa2af4e62b0,Would downloading Mario 64 on an emulator be legal?,No,"['Mario 64 is licenced to Nintendo Entertainment.', 'Nintendo holds a copyright on all of their Mario games.']","['What company is Mario 64 licensed to?', 'What does #1 hold on Mario 64?', 'Is it legal to download Mario 64 if it is #2?']",1,712
883,361f7e0cd93f9826b7f6,Is myocardial infarction a brain problem?,No,"['Myocardial infarction is a problem in the heart.', 'The equivalent in the brain would be similar to a stroke.']","['Which organ in the body does myocardial infarction affect?', 'Is #1 the same as the brain?']",2,792
1770,85a99480c6fb0177f4c7,Will you see peach blossoms and Andromeda at the same time?,No,"['Peach trees bloom in the spring.', 'Andromeda is visible in the fall.']","['When do peach trees bloom?', 'When can you see Andromeda?', 'Is #1 the same as #2?']",3,1613
1470,026a34caa057f988a881,Was Michael Crichton ever in danger of flunking out of Harvard as an undergraduate?,No,"['Scholastic probation or academic dismissal, sometimes known as flunking out, is the termination of students at a higher educational institution as the result of poor academic achievement.', ""Michael Crichton obtained his bachelor's degree in biological anthropology summa cum laude in 1964."", 'Summa cum laude is the highest distinction a person can achieve in college for academic success.', 'Someone who achieves summa cum laude cannot have even a single semester of poor grades.']","['What grade is considered flunking in US colleges?', 'What honors did Michael Crichton graduate with?', 'Can someone achieve #2 with grades of #1?']",4,1668
588,453f198e758c82ae85d9,Does 50 Cent get along with Jeffrey Atkins?,No,"['Jeffrey Atkins is a rapper better known as Ja Rule.', 'Ja Rule released the diss track ""Loose Change"" in April 2003, where he attacks 50 Cent.', ""In 2018 50 cent responded to a Ja Rule diss by purchasing and vacating the first 4 rows of Ja Rule's concert.""]","['What artists was Jeffrey Atkins critical of in his song Loose Change?', 'Is 50 Cent outside the group of #1?']",0,425
311,382571a1ab13a99b1f74,Is Steve Martin someone who would refuse a dish of shrimp pasta?,Yes,"['Steve Martin is allergic to shellfish.', 'Shrimp are one of the many types of shellfish.']","['What types of food is Steve Martin allergic to?', 'What type of food is shrimp?', 'Is #2 included in #1?']",1,1617
2136,fc60a290ab2e9a467f1c,"For bone growth, is kale more beneficial than spinach?",Yes,"['Calcium is an important nutrient for bone health.', 'Kale has more calcium per serving than spinach.']","['What nutrient is critical for bone growth?', 'How much #1 does kale contain?', 'How much #1 does spinach contain?', 'Is #2 greater than #3?']",2,112
2027,a0362ec2c3b195e02315,Is anyone at the Last Supper celebrated in Islam?,Yes,"['The Last Supper was a meal between Jesus and his twelve disciples in Christianity.', 'In Islam, Jesus is one of many revered prophets.', 'In Islam, Jesus returns in a Second Coming to fight the ""False Messiah"" and establish peace on earth.']","['Who was present at the Last Supper?', 'Are any of #1 celebrated in Islam?']",3,1624
1855,d640dea4e362ceaa2a64,Did Julio Gonzalez like acetylene?,Yes,"['Julio Gonzalez was an artist who welded metal to create sculptures', 'Welding is achieved by using a blowtorch on metal', 'Blowtorches use acetylene as fuel']","['What technique did Julio Gonzalez use to create his scultures?', 'What is the main tool used for #1?', 'What is a common fuel for #2?']",4,367
1420,e2e70b3a5a5221852041,Will Dustin Hoffman likely vote for Trump in 2020?,No,"['Dustin Hoffman is a liberal and has long supported the Democratic Party and Ralph Nader.', 'Donald Trump belongs to the Republican Party.']","[""What is Dustin Hoffman's political party affiliation?"", 'What party is Donald Trump affiliated with?', 'Is someone from #1 likely to vote for a candidate from #2?']",0,1743
1495,caddf0bcf06640844a4c,Could William Franklyn-Miller win a 2020 Nascar Cup Series race?,No,"['William Franklyn-Miller is an actor known for the TV series Medici: The Magnificent.', 'William Franklyn-Miller turned 16 in March of 2020.', 'Nascar Cup Series races have a minimum age of 18.']","['Who is William Franklyn-Miller?', 'How old is #1?', 'What is the minimum age to join the Nascar Cup Series?', 'Is #2 larger than #3?']",1,1419
904,b1c014fc0205f28e8101,Would Cardi B. benefit from soy milk?,Yes,"['Cardi B became lactose intolerant in her early twenties.', 'People who are lactose intolerant cannot have dairy.', 'Soy milk is an alternative to dairy milk.']","['What food intolerance does Cardi B. suffer from?', 'What must people with #1 avoid?', 'Is soy milk free from #2?']",2,295
1687,fc712fb2286006222e50,Is it dark is Basel during the day in Los Angeles?,Yes,"['Basel is located in the CEST time zone.', 'Los Angeles is located in the PDT time zone.']","['What time zone is Basel in?', 'What time zone is Los Angeles in?', 'What is the time difference in hours between #1 and #2?', 'Is #3 at least equal to 8?']",3,718
639,46428dac0ceefa1ad73b,Would Eric Clapton's mother hypothetically be unable to legally purchase cigarettes in the USA at his birth?,Yes,"[""Eric Clapton's mother was 16 years old at the time of his birth."", 'As of 2020, federal law required states comply with a minimum age of 21 years for sale/purchase of tobacco products.']","[""How old was Eric Clapton's mom when he was born?"", 'How old must you be to legally buy cigarettes in the USA?', 'Is #2 greater than #1?']",4,768
1615,f4ac300578dfab653d3f,Has type of political association Pompey had with Caesar influenced reality TV?,Yes,"['Pompey, Julius Caesar, and Marcus Licinius Crassus formed a political association called a triumvirate.', 'A triumvirate spits rule between three powerful people that get to make decisions.', 'Reality show The Challenge: Total Madness appoints three weekly winners to make decisions for the group, known as the Tribunal.', 'Reality show American Idol has had three judges making decisions about which contestants advance.']","['Which political association did Pompey form with Julius Caesar and Marcus Licinius Crassus?', 'How many people does #1 typically involve?', 'How many judges are on reality show American Idol?', 'Is #2 equal to #3?']",0,825
1812,028eda7ded7825edb6eb,Is a felony jury enough people for a Bunco game?,Yes,"['Felonies and other serious crimes have a jury of 12 people.', 'Bunco is a parlour game requiring 12 or more players.']","['How many people are on a felony criminal jury?', 'How many players are needed for a game of Bunco?', 'Is #2 the same or less than #1?']",1,1325
685,3756f2a4b805deba01b6,Is breakdancing safe for people with tendonitis?,No,"['Tendonitis is a condition where the joints are inflamed.', 'Strong motions in joints suffering from tendonitis can result in damage to nerves.', 'Breakdancing is a style of dance that involves many vigorous motions.', 'The downrock breakdancing maneuver involves balancing the body weight on the floor using one arm.']","['What are the symptoms of tendonitis?', 'Which kind of movements are involved in breakdancing?', 'Are #2 safe when experiencing #1?']",2,759
1687,fc712fb2286006222e50,Is it dark is Basel during the day in Los Angeles?,Yes,"['Basel is located in the CEST time zone.', 'Los Angeles is located in the PDT time zone.']","['What time zone is Basel in?', 'What time zone is Los Angeles in?', 'What is the time difference in hours between #1 and #2?', 'Is #3 at least equal to 8?']",3,718
66,97d147b2e3e29fa85a71,Does Ukrainian Greek Catholic Church recognize Alexander Nevsky as a saint?,No,"['Alexander Nevsky was a Prince of Novgorod that fought against German and Swiss Invaders.', 'The Russian Orthodox Church named Alexander Nevsky.a saint in 1547.', 'The Russian Orthodox Church is a member of the Eastern Orthodox Church and has their own list of saints.', 'The Catholic Church and the Eastern Orthodox Church have been in a state of official schism since the East–West Schism of 1054.', 'The Ukrainian Greek Catholic Church is a branch of the Catholic Church.']","['In which religion is Alexander Nevsky considered a saint?', 'What religion is the Ukrainian Greek Catholic Church a part of?', 'Is #1 and #2 the same?']",4,567
1394,05cce7e36ecb95166a28,Does Justin Bieber vote in October?,Yes,"['Justin Bieber is a Canadian citizen', 'Canadian elections are held on the third Monday in October']","['What country is Justin Bieber a citizen of?', 'When does #1 hold its national elections?', 'Is #2 October?']",0,1582
1078,06724dc213e0dae715f5,Could one Amazon share ever buy twenty year Netflix subscription?,Yes,"['Amazon stock has reached as high as $2,500 a share as of June 2020.', 'The basic Netflix subscription package costs $8.99 a month as of 2020.']","['What is the cost of a monthly Netflix subscription?', 'How many months are there in a year?', 'What is #2 multiplied by 20 and then multiplied by #1?', 'What is the highest price Amazon stock has ever reached?', 'Is #4 greater than #3?']",1,1366
253,a0896de3fd13cd0f3e16,Is Atlantic cod found in a vegemite sandwich?,No,"['Vegemite is a spread popular in Australia.', ""Vegemite is made from leftover brewers' yeast extract with various vegetable and spice additives. "", 'The Atlantic cod is found mostly in North America and Greenland.']","['To what taxonomic kingdom does the Atlantic cod belong?', 'What are the ingredients of Vegemite?', 'Do any of #2 belong in #1?']",2,918
272,63caa686e799fd5825e8,Are any letters directly before and after H missing from Roman numerals?,Yes,"['The Roman numerals are: I, V, X, L, C, D, and M.', 'The letter H in the alphabet is preceded by G and followed by I.']","['What is the letter before ""H""?', 'What is the letter after ""H""?', 'What are the Roman numerals? ', 'Is it the case that not both #1 and #2 are in #3?']",3,1214
1325,032419040e53e3e9d194,Was Aristotle a member of the House of Lords?,No,"['Aristotle died in 322 BC.', 'The House of Lords is grown out of the Model Parliament, which was the first English Parliament.', 'The Model Parliament was held in 1295.']","['When did Aristotle die?', 'Where did the House of Lords originate from?', 'When did #2 occur?', 'Did #3 happen before #1?']",4,113
