question	answers
A small business invests $9,800 in equipment to produce a product. Each unit of the product costs $0.65 to produce and is sold for $1.20. How many units of the product must be sold before the revenue received equals the total expense of production, including the initial investment in equipment?	 D
The function P~ can be expressed as 2-P for all values of P. What is the value of (7~)~?	 A) 7
A tailor had a number of shirt pieces to cut from a roll of fabric. He cut each roll of equal length into 12 pieces. He cut at the rate of 40 cuts a minute. How many rolls would be cut in 30 minutes ?	 D
3 men and 3 women need to be seated in 2 rows with 3 chairs in each row. All men have to be seated in the back row. How many ways can this be done?	" A)6

Test Question: 
Q: A bakery sells muffins and cupcakes. On a particular day, they sold a total of 100 items. If they sold twice as many muffins as cupcakes and the total revenue from muffins was $300 more than that from cupcakes, how many cupcakes did they sell?
O: ['A)20', 'B)25', 'C)30', 'D)35', 'E)40']"
If a number is chosen at random from the set {1, 2, 3, ...., 100}, then the probability that the chosen number is a perfect cube is?	 A
A train running between two stations A and B arrives at its destination 10 minutes late when its speed is 50 km/h and 50 minutes late when its speed is 30 km/h. What is the distance between the stations A and B ?	"Rationale: Let the distance between stations A and B be D km.

When the speed of the train is 50 km/h, it arrives 10 minutes late. This means it takes more time than expected to cover the distance D. The extra time taken at a speed of 50 km/h compared to an ideal speed is 10 minutes or 1/6 hours.

Similarly, when the speed of the train is 30 km/h, it arrives 50 minutes late. This means it takes even more time than before to cover the same distance D at a slower speed. The extra time taken at a speed of 30 km/h compared to an ideal speed is 50 minutes or 5/6 hours.

Using the formula Distance = Speed × Time, we can set up two equations based on these scenarios:

Equation (1): D = (50) × (T + 1/6)
Equation (2): D = (30) × (T + 5/6)

Where T represents the actual travel time in hours for both cases.

By equating Equations (1) and (2), we get:
(50)(T + 1/6) = (30)(T + 5/6)
Solving this equation"
The H.C.F and L.C.M. of two numbers are 50 and 100 respectively. If the first number is divided by 2, the quotient is 50, the second number is:	 A
Bert and Ernie are among 12 tenants on Sesame Street, from which 9 tenants are to be selected for the neighborhood watch. Of the different possible selections, how many contain neither Bert nor Ernie?	 A)1
There are N numbers of gold biscuits in the house, in which four people are lived. If the first men woke up and divided the biscuits into 5 equal piles and found one extra biscuit. He took one of those piles along with the extra biscuit and hid them. He then gathered the 4 remaining piles into a big pile, woke up the second person and went to sleep. Each of the other 3 persons did the same one by one i.e. divided the big pile into 5 equal piles and found one extra biscuit. Each hid one of the piles along with the extra biscuit and gathered the remaining 4 piles into a big pile. If N>1000, what could be the least value of N?	"Rationale: Let's consider the process step by step:

1. After the first person divides the biscuits into 5 equal piles, there is one extra biscuit. So, each pile contains (N/5) + 1 biscuits.
2. The first person takes one of those piles along with the extra biscuit and hides them. Therefore, he took ((N/5) + 1) biscuits.
3. The remaining 4 piles are combined into a big pile which now contains 4*((N/5)+1) = (4N/5) + 4 biscuits.

Now, let's find out how many biscuits were there originally in terms of N after all four people have performed this process:

After the second person:
- Divides big pile into 5 equal piles: Each pile has ((4N/5)+4)/5 = (4N+20)/25
- Takes one of those piles along with an extra biscuit: Total taken = ((4N+20)/25) * 1 = (4N+20)/25
- Remaining big pile has: (4*(4N+20))/25 = (16N +80)/25

After the third person:
- Divides big pile into 5"
The average age of the first seven people to arrive at Nikhil’s birthday is 21. When Vijay (29) arrived, the mean age is increased to 22. Marry (also 29) arrived next. The tenth and last person to arrive at Nikhil's party is Nikhil himself, and the mean age increased to 30 years. How old is Nikhil on his birthday?	 A)94
Marla starts running around a circular track at the same time Nick starts walking around the same circular track. Marla completes 32 laps around the track per hour and Nick completes 12 laps around the track per hour. How many minutes after Marla and Nick begin moving will Marla have completed 5 more laps around the track than Nick?	"Rationale: Let's first find the time it takes for Marla and Nick to complete 5 laps more than Nick.

Marla completes 32 laps per hour, which means she completes \( \frac{32}{60} \) laps per minute.
Nick completes 12 laps per hour, which means he completes \( \frac{12}{60} \) laps per minute.

Let the time taken be \( t \) minutes. In that time:
- Marla would have completed \( t * \frac{32}{60} = \frac{16t}{30} = \frac{8t}{15} \) laps.
- Nick would have completed \( t * \frac{12}{60} = \frac{6t}{30} = \frac{3t}{15} \) laps.

Given that Marla completes 5 more laps than Nick in this time:
\[ (\text{Laps by Marla}) - (\text{Laps by Nick}) = 5\]
\[ (\frac{8t}{15}) - (\frac{3t}{15}) = 5\]
\[ (8t - 3t)/15 = 5\]
\[ 5t/15 = 5\]
"
Proportion of Yuvaraj’s age to Ganguly’s age is 4:3. Yuvaraj will be 26 years old after 6 years. What is the age of Ganguly now?	 A
A man says that he gained 10 percent as profit in selling a suitable cloth material. He says if he had purchased the same one 10 percent cheaper than it was actual and if he had sold it for 20% profit he gets 25paise less. find at what price he sold the suit?	"Rationale: Let's assume the original cost price of the cloth material is Rs. x.

According to the question:
1. Selling at 10% profit:
Selling Price (SP) = Cost Price (CP) + 0.10 * CP = 1.10 * x

2. Buying at 10% cheaper and selling at 20% profit:
New Cost Price = CP - 0.10 * CP = 0.90 * x
New Selling Price = New Cost Price + 0.20 * New Cost Price = 1.20 * (0.90x)

Given that he gets Rs. 0.25 less in the second scenario compared to the first scenario:

1st SP - 2nd SP = Rs. 0.25
1st SP - (1st CP + Profit from the second scenario) = Rs. 0 .25
(1st SP - (CP + Profit from the second scenario)) /100=Rs .025/100
(1st SP-CP-Profit from second)/100=25/100

Substitute values of SP and CP into above equation, we get:
(1 .10x - [0 .90x + (1 .20*O"
Tanya's grandfather was 8 times older to her 16 years ago. He would be 3 times of her age 8 years from now. What was ratio of ages of Tanya and her grandfather 8 years ago.	"Rationale: Let's assume Tanya's current age is \(T\) and her grandfather's current age is \(G\).

From the given information:
1. 16 years ago, Tanya's grandfather was 8 times older than Tanya:
\(G - 16 = 8(T - 16)\)

2. In 8 years from now, Tanya's grandfather will be three times as old as Tanya:
\(G + 8 = 3(T + 8)\)

Now, we need to solve these two equations simultaneously to find the current ages of Tanya and her grandfather.

Solving equation (1) for G in terms of T gives: 
\(G = 8T -112\)

Substitute this into equation (2):
\(8T -112 + 8 =3(T+8)\)
\(8T-104=3T+24\)
\(5T=128\)
\(T=25.6\) 

Since ages are whole numbers, let's try with \(T=26\) which satisfies both equations.

Therefore, if Tanya is currently aged at \(26\) years, then her grandfather would be:

From Equation (1): 
\(G = 8(26) -112 ="
The least possible value of |89 - 9a|, where a is an integer, is	"Rationale: 
To find the least possible value of |89 - 9a|, we need to consider two cases:
1. When 89 - 9a is positive, then |89 - 9a| = 89 - 9a
2. When 89 - 9a is negative, then |89 - 9a| = -(89 - 9a) = 9a - 89

For the first case:
Let's assume that a is such that the expression inside absolute value becomes positive.
So, let's solve for a in the inequality: 
89 - 9a ≥0
-9a ≥-89
Dividing by (-1) (reversing inequality sign):
9a ≤ 89
a ≤ \( \frac{89}{9} \)

For the second case:
Let's assume that a is such that the expression inside absolute value becomes negative.
So, let's solve for a in the inequality: 
-(89 - 9a) ≥0
-89 + 9a ≥0
Adding \(+\) on both sides:
\(8\leq{A}\)

Comparing both inequalities gives us \(8\leq{A}\leq{\frac"
In tennis, service alternates for each game between the two players and the first player to win 6 games wins. A player winning 6-2 indicates that 8 games were played, of which the winning player won 6 and the losing player won 2.Rafa beat Roger in a set of tennis, winning six games to Roger’s three. Five games were won by the playerwho did not serve. Who served first?	 A) Rafa
Ashish is given Rs. 158 in one-rupee denominations. He has been asked to allocate them into a number of bags such that any amount required between Re 1 and Rs. 158 can be given by handing out a certain number of bags without opening them. What is the minimum number of bags required?	 A)11
Last year Sahara, Tata, Singhania and Birla each has 250 industries. This year everyone has sold out 10 factories due to the recession of the economy and poor turnout. The average number of industries which of them now has	 B
Which of the following is the equation of a line that goes through the point (10,5) and has an x-intercept of 5.	"Rationale: To find the equation of a line passing through the point (10,5) and having an x-intercept of 5, we first need to determine the slope of the line using these two points.

1. Calculate the slope:
The slope formula is given by: 
\[ \text{Slope} = \frac{y_2 - y_1}{x_2 - x_1} \]

Given points are (10,5) and (5,0):
\[ \text{Slope} = \frac{0 - 5}{5 - 10} = \frac{-5}{-5} = 1\]

So, the slope of the line is 1.

2. Write down the equation in point-slope form:
The point-slope form of a linear equation is given by:
\[ y - y_1 = m(x - x_1) \]
where \(m\) is the slope and \((x_1,y_1)\) is any point on the line.

Using point (10,5), we have:
\[ y - 5 = 1(x - 10) \]
\[ y - 5 = x - 10\]
\[ y = x - "
In a mixture of milk and water, there is only 26% water. After replacing the mixture with 7 liters of pure milk, the percentage of milk in the mixture become 76%. The quantity of the mixture is:	 [INS]
The least perfect square number, exactly divisible by 21, 36 and 56 is?	 A
Mr. X died when his age was 1/59th of year of birth. What was his date of birth?	 A)1947
Santa distributes 2 gifts to every child in the street at the Christmas evening. He mistakenly gives 4 gifts to some children. If he distributed 50 gifts to 21 children. How many children got 4 gifts?	 D
The ratio of A’s and B’s salary is 9 : 4. If A’s salary is increased by 15%, then his total salary becomes 5175. What is the salary of B?	 E) None of these
Of two numbers, 4 times the smaller one is less then 3 times the larger one by 5. If the sum of the numbers is larger than 6 times their difference by 6, find the two numbers.	"Rationale: Let's denote the smaller number as \( x \) and the larger number as \( y \).

From the first statement, we have:
\( 4x = 3y - 5 \) 

From the second statement, we have:
\( x + y > 6(y - x) + 6 \)

Now, let's solve these two equations simultaneously to find the values of \( x \) and \( y \):

From equation (1):
\( 4x = 3y - 5 \\
4x - 3y = -5 \\
12x - 9y = -15
\)

From equation (2):
\( x + y > 6(y - x) + 6 \\
x + y > 6y -6x +6 \\
7x-5y < -6
\)

Now, solving these two equations together:
\( 
\begin{cases} 
12x-9y=-15 \\ 
7x-5y<-6 
\end{cases}
\)

Multiplying the second equation by \(3\) to match coefficients with first equation:
\( 
\begin{cases} 
12x-9y=-15 \\ 
21x-15y<-18
"
Cost of 3 cricket balls = cost of 2 pairs of leg pads. Cost of 3 pairs of leg pads = cost of 2 pairs of gloves. Cost of 3 pairs of gloves = cost of 2 cricket bats. If a cricket bat costs Rs 54, what is the cost of a cricket ball?	 D
Peter piper picked a pack of pickled peppers according to the function Y=(1/X)*X^3-7. If X=3 how many pickled peppers did he pick?	 D
John invested $100 in each of the funds A and B. After one year, the value of the money in fund A was $10 higher than the value of the money in fund B. After another year, the value of the money in fund A was $25 higher than the value of the money in fund B. If the value of the money in each fund increased by a fixed interest compounded annually, what was the annual interest of fund A?	 [INS]
If P represents a single digit in the four digit number x=18P6, how many different values of P are there such that x is divisible by 8?	"Rationale: To determine the values of P for which the number x=18P6 is divisible by 8, we need to check the divisibility rule for 8. A number is divisible by 8 if the number formed by its last three digits is divisible by 8.

For x=18P6 to be divisible by 8, the number formed by its last three digits should be divisible by 8. In this case, it means that the number P6 should be divisible by 8.

Let's find out which values of P satisfy this condition:
- If P=0, then the number becomes 1806 which is not divisible by 8.
- If P=1, then the number becomes 1816 which is not divisible by 8.
- If P=2, then the number becomes 1826 which is not divisible by 8.
- If P=3, then the number becomes 1836 which is not divisible by 8.
- If P=4, then the number becomes 1846 which is not divisible by
- If P=5, then the number becomes1856 which is not divisble
-If p =7 ,then x =1879 and it will also fail

Therefore,"
Vegetables contains 68% water and green vegetables contains 20% water. How much green vegetables can be obtained from 100 kg of Vegetables ?	 D
M is a set of even numbers from 1 to 23 and odd numbers from 24 to 100. Find no. of zeroes in the sum of all values in the set.	 A)8
During a 10-week period, a doughnut store conducted a promotion by giving away one free doughnut with every doughnut purchased. If the store sold and gave away a total of K doughnuts per week, and each doughnut was sold for $0.25, how many dollars worth of doughnuts did the store give away?	 A) } \frac{K}{8}\)
The mean proportional between 45 and a certain number is three times the mean proportional between 5 and 22. The number is ?	 C
x contains 85% water and 15% oil; how many more liters of water than liters of oil are in 200 liters of solution x?	 D
A batsman has scored an average of 46 runs for a certain number of innings played in England. When he came back to India, he played another two test matches of two innings each and scored at an average of 55 runs. For the innings in England and in India taken together, he has improved his average by 2 runs over the matches played in England. Find the number of innings played in England.	 C
Mr. Bean chooses a number and he keeps on doubling the number followed by subtracting one from it, if he chooses 3 as initial number and he repeats the operation for 30 times then what is the final result?	"Rationale: Let's calculate the result after each operation for the first few steps to identify a pattern:
1. Initial number = 3
2. After doubling and subtracting one: (3*2) - 1 = 5
3. After second operation: (5*2) - 1 = 9
4. After third operation: (9*2) - 1 = 17

We can observe that after each step, the result is obtained by doubling the previous result and then subtracting one.

Now, let's continue this pattern for a total of 30 operations starting from the initial number of 3:

5. After fourth operation: (17*2) - 1 = 33
6. After fifth operation: (33*2) - 1 = 65

Continuing this calculation:

7. After sixth operation: (65*2) - 1 =129
8. After seventh operation:(129 *2)-1=257 
9.After eighth Operation:(257 *2)-1=513 
10.After ninth Operation:(513 *2)-1=1025 
11.After tenth Operation:(1025 *2)-1=2049 
12.After eleventh Operation:(2049 *2"
There was a simple interest of Rs. 4016.25 on a principal amount at the rate of 9% p.a. in 5 years. Find the principal amount.	 B
A fair coin is tossed 6 times. If heads appears on the first 2 tosses, then what is the total number of heads we would expect after all 6 tosses.	 C)4
A rectangle has twice the area of a square. The length of the rectangle is 14 cm greater than that side of the square whereas breadth is equal to side of the square. Find the perimeter of the square?	 C
In a shipment of 120 machine parts, 5 percent were defective. In a shipment of 80 machine parts, 10 percent were defective. For the two shipments combined, what percent of the machine parts were defective?	 C)7.5%
John buys koolaid for 12$ at a local store. If he bought it at the wholesale store he would get an extra liter of koolaid for the same cost. Also, the koolaid is 1$ cheaper per liter at the wholesale store. What is the price per liter of the koolaid at the local store?	 A)3
Box W and Box V each contain several blue sticks and red sticks, and all of the red sticks have the same length. The length of each red stick is 19 inches less that the average length of the sticks in Box W and 6 inches greater than the average length of the sticks in Box V. What is the average (arithmetic mean) length, in inches, of the sticks in Box W minus the average length, in inches, of the sticks in Box V?	 C
