question	answers
In how many arrangements can you arrange 3 green cones and 3 blue cones in a line along the boundary of football ground if no two cones of the same color are to be adjacent?	"Rationale: 
To solve this problem, we can think of arranging the green cones and blue cones separately. 

1. First, let's arrange the 3 green cones. Since no two green cones can be adjacent, we must place a blue cone between each pair of green cones. This creates 4 spaces where the blue cones can go (2 spaces on either side of each green cone). We need to choose 3 out of these 4 spaces to place the blue cones.

2. Once we have placed the green and blue cones in their respective positions, there is only one way to arrange each color within its group.

Therefore, the total number of arrangements = Number of ways to place blue cones * Number of ways to place green cones = 3C3 * 4C3 = 1 * 4 = 4

Answer: A)6"
In a mixture, the ratio of spirit and water is 3:2. If the amount of spirit is 3 litre more than amount of water, calculate the amount of spirit in mixture?	"Rationale: Let the amount of water be x litres. 
According to the given ratio, the amount of spirit is 3 litres more than the amount of water, so it would be (x + 3) litres.

Given that the ratio of spirit to water is 3:2, we can set up the equation:
(spirit)/(water) = 3/2
(x + 3)/x = 3/2
Cross multiplying gives us:
2(x + 3) = 3x
Expanding and simplifying:
2x + 6 = 3x
Subtracting x from both sides:
6 = x

Therefore, the amount of water in the mixture is x = 6 litres.
To find the amount of spirit in the mixture:
Amount of spirit = x + 3
Amount of spirit = 6 + 3
Amount of spirit = 9 litres

Answer: B)9"
A car traveled 40 mph from Belnap to Lincoln and 50 mph from Lincoln to Belnap. If the whole trip was 660 miles, how long did the round trip take?	"Rationale: To find the time taken for the round trip, we can use the formula Time = Distance / Speed. Let x be the time taken to travel from Belnap to Lincoln and y be the time taken to travel from Lincoln to Belnap. We know that the total distance is 660 miles.

From Belnap to Lincoln:
Time = Distance / Speed
x = 660 / 40
x = 16.5 hours

From Lincoln to Belnap:
Time = Distance / Speed
y = 660 / 50
y = 13.2 hours

Total time for round trip:
Total Time = x + y
Total Time = 16.5 + 13.2
Total Time = 29.7 hours

Answer: D)13.2 hours"
In a certain conservative mutual fund, 60 percent of the money is invested in bonds, and of that portion, 40 percent is invested in highly rated corporate bonds. If at least $2.4 million in this fund is invested in highly rated corporate bonds, what is the smallest possible total value for the mutual fund?	"Rationale: 
Let the total value of the mutual fund be x million dollars. 

60% of x is invested in bonds, which means 0.6x million dollars is invested in bonds. 
Of that portion, 40% is invested in highly rated corporate bonds, so 0.6x * 0.4 = 0.24x million dollars is invested in highly rated corporate bonds.

Given that at least $2.4 million is invested in highly rated corporate bonds, we have:
0.24x ≥ 2.4
x ≥ 2.4 / 0.24
x ≥ 10

Therefore, the smallest possible total value for the mutual fund is $10 million.

Answer: B)10 million"
A certain state imposes a 4% tax on the nightly rates of hotel room. A certain hotel in this state also charges a $2.00 nightly fee per room, which is not subject to tax. If the total charge for a room for one night was $72.72 , what was the nightly rate of the room?	"Rationale: Let x be the nightly rate of the room. 

Total charge for one night = Nightly rate + $2.00 fee + 4% tax on nightly rate
$72.72 = x + $2.00 + 0.04x
$72.72 = 1.04x + $2.00
1.04x = $70.72
x ≈ $68

Answer: A) $68.00"
Alex has enough money to buy 30 bricks. If the bricks each cost 20 cents less, Grace could buy 10 more bricks. How much money does Grace have to spend on bricks?	"Rationale: Let's denote the cost of each brick as x cents. Since Alex can buy 30 bricks, he spends a total of 30x cents. Grace could buy 10 more bricks if each brick costs 20 cents less, so the new cost per brick would be (x - 20) cents.

Given that Grace could buy those extra 10 bricks with the same amount of money Alex spent on his original 30 bricks:
30x = (30 + 10)(x - 20)
30x = 40(x - 20)
30x = 40x - 800
10x = 800
x =80

Now we know that each brick originally costs x=80 cents. Therefore, Grace needs to spend for her bricks:
(30 + 10)(80 -20) =40 *60=2400cents=24 dollars

Answer: E)36"
In a poll of 45,000 dentists, only 30 percent responded; of these, 20 percent claimed to prefer Toothpaste A. How many of the dentists who responded did not claim a preference for Toothpaste A?	"Rationale: 
- 30% of 45,000 dentists responded to the poll, which is (30/100) * 45,000 = 13,500 dentists.
- Out of these respondents, 20% claimed to prefer Toothpaste A, which is (20/100) * 13,500 = 2,700 dentists who preferred Toothpaste A.
- Therefore, the number of dentists who responded but did not claim a preference for Toothpaste A is 13,500 - 2,700 = 10,800.

Answer: E)10,800"
"In recent Malta elections, in a particular constituency, 100,000 votes were cast and each vote was cast for
either Candidate A or Candidate B. If candidate A has won by 500 votes, what percent of the 100,000 votes
were cast for Candidate A?"	"Rationale: 
If Candidate A won by 500 votes, it means that 500 more votes were cast for Candidate A than for Candidate B. Since there were a total of 100,000 votes cast in the constituency, we can calculate the number of votes cast for Candidate A as follows:

Number of votes for Candidate A = (Total votes / 2) + (Winning margin / 2)
Number of votes for Candidate A = (100,000 / 2) + (500 / 2)
Number of votes for Candidate A = 50,000 + 250
Number of votes for Candidate A = 50,250

Now, to find the percentage of the total votes that were cast for Candidate A:
Percentage of votes for Candidate A = (Votes for candidate A / Total Votes) * 100
Percentage of votes for Candidate A = (50,250 / 100,000) * 100
Percentage of votes for Candidate A ≈ 50.25%

Answer: B)50.25%"
Glenn gains 10% from selling her scarf at $44. Her mom tells her she'll buy it from her but only after a family discount of 5%. What is Glenn's gain percent if she sells the scarf to her mom?	"Rationale: 
1. Glenn sells the scarf at $44 with a 10% gain, which means her cost price (CP) is $44 / 1.10 = $40.
2. Her mom offers to buy it back from her with a family discount of 5%, so Glenn will sell it for 95% of the cost price.
3. Selling price to her mom = $40 * 0.95 = $38.
4. Glenn's gain percent when selling the scarf to her mom can be calculated as ((Selling Price - Cost Price) / Cost Price) * 100%:
   Gain percent = (($38 - $40) / $40) * 100%
               = (-$2 / $40) * 100%
               = -0.05 * 100%
               = -5%

Answer: E) No gain"
A trader bought some books for Rs 8 each. The wholesaler gave 15% discount on each of the books. If the discount amount deducted on the bill was Rs 216, how many books did he buy?	"Rationale: Let the number of books bought be x.
Each book was bought for Rs 8, and a 15% discount was given on each book. 
So, the amount paid for each book after the discount = Rs 8 - (15/100)*Rs 8 = Rs 6.80
The total amount spent on buying x books = Rs 6.80x

Given that the discount amount deducted on the bill was Rs 216:
Total discount amount = Discount per book * Number of books
216 = (Rs 8 - Rs 6.80) * x
216 = Rs 1.20 * x
x = 216 / 1.20
x =180

Answer: A)180"
"Elliot has $1500 to buy a new laptop. His father gave him another $600 for a better model. Elliot saw a new mobile and he decided to by it for 400$. Also, he bought a laptop for $1300
How much money had Elliot left with?"	"Rationale: 
1. Elliot starts with $1500.
2. His father gives him an additional $600.
3. Elliot spends $400 on a new mobile and $1300 on a laptop.
4. To find out how much money Elliot has left, we need to calculate the total amount of money he received and subtract the total amount he spent.

Answer: D) $500

Calculation:
Total money Elliot had = $1500 + $600 = $2100
Total money spent = $400 (mobile) + $1300 (laptop) = $1700
Money left with Elliot = Total money had - Total money spent
Money left with Elliot = $2100 - $1700 = $400"
Bill's shop sells candy bars by the full case. 80% of a full case is added to 96 candy bars already in the case to fill it. How many candy bars are in a full case?	"Rationale: Let x be the total number of candy bars in a full case. We know that 80% of x is added to the 96 candy bars already in the case to fill it. This can be represented as:

0.80x + 96 = x

Solving for x:
0.80x + 96 = x
0.20x = 96
x = 480

Answer: E) 480 candy bars"
Lucy has enough money to go to Canada every 6 years, while Luke has enough to go every 9 years. If they pool their money, how often can they go?	"Rationale: 
- Lucy can go to Canada every 6 years.
- Luke can go to Canada every 9 years.
- To find out how often they can go together, we need to find the least common multiple (LCM) of 6 and 9.

Calculating the LCM of 6 and 9:
Factors of 6: 1, 2, **3**, **6**
Factors of 9: 1, **3**, **9**
The LCM is the smallest number that both numbers divide into evenly. In this case, it is 18.

Answer: B) once every 15 years"
A group of stock analysts had a contest. Each analyst picked 5 stocks out of a list of 30 stocks to purchase. If each of the stocks was picked exactly 6 times, how many analysts were in the contest?	"Rationale: Let's assume there were x analysts in the contest. Each analyst picked 5 stocks, so the total number of stocks picked would be 5x. Since each stock was picked exactly 6 times, we can set up the equation:

30 = 6 * 5x
30 = 30x
x = 1

Answer: A) 25

Therefore, there were 25 analysts in the contest."
Which is a longer period of time: 3 hours or 175 minutes?	"Rationale: To determine which is a longer period of time between 3 hours and 175 minutes, we need to convert one of the units to match the other. Since both hours and minutes are units of time, we can convert either 3 hours to minutes or 175 minutes to hours for comparison.

Converting 3 hours to minutes:
1 hour = 60 minutes
3 hours = 3 * 60 = 180 minutes

Comparing now, 
Answer: A)1hours"
The root(s) of 15/(x2 - 4) – 2/(x - 2) = 1 is (are):	"Rationale: To find the roots of the given equation, we first need to simplify it by finding a common denominator. 

Given equation: 15/(x^2 - 4) – 2/(x - 2) = 1

First, factor x^2 - 4 as (x + 2)(x - 2):

15/[(x + 2)(x - 2)] – 2/(x - 2) = 1

Now, find a common denominator for both terms on the left side:

[15 - 2(x + 2)] / [(x + 2)(x - 2)] = [15 - (2x +4)] / [(x + 3)( x-3)]

(15-6-4)/[( x+3 )( x-3 )] = (5)/( x+3 )( x-3 )

Now set this equal to zero and solve for x:

5/[( x+3 )( x-3 )]=0
5=0
This is not possible.

Therefore, there are no real roots for this equation.

Answer: None of the above options."
A farming field can be ploughed by 6 tractors in 4 days. When 6 tractors work together, each of them ploughs 120 hectares a day. If two of the tractors were moved to another field, then the remaining 4 tractors could plough the same field in 5 days. How many hectares a day would one tractor plough then?	"Rationale: 
Let the total area of the field be x hectares.

From the given information, we know that 6 tractors can plough the field in 4 days. Therefore, the rate at which 6 tractors work together is:
6 * 4 = 24 tractor-days to plough x hectares

This means that each tractor ploughs at a rate of x/24 hectares per day.

We are also given that when 6 tractors work together, each of them ploughs 120 hectares a day. So, with all 6 tractors working together:
6 * (x/24) = 120
x/4 = 120
x = 480

Therefore, the total area of the field is 480 hectares.

Now, if two tractors are moved to another field and only four remain to plough this field in 5 days, then with just four tractors working:
4 * (480/5) = x
1920/5 = x
384 = x

So now we need to find out how many hectares one tractor would plough if there were only four tractors working on this field.
Each tractor would then plough:
384 / (4*5) = **19."
On sports day, if 24 children were made to stand in a column, then 10 columns could be formed. If 240 children were made to stand in a column, then how many columns could be formed?	"Rationale: Since 24 children can form 10 columns, we can find out how many children are needed to form one column by dividing the total number of children (240) by the number of columns (10). This gives us 24 children per column. Therefore, if there are 240 children and each column has 24 children, the number of columns that can be formed is given by dividing the total number of children (240) by the number of children in each column (24), which equals 10 columns.

Answer: A)20"
The salaries of Kiran, Prakash and Sanjay are in the ratio of 2 : 3 : 4. The salary of Prakash and Sanjay together is Rs. 56000. The manager plans to increment the salary of Prakash from his current package and does so by increasing his salary so that it is 1 rupee more than that of Sanjay. Now, if Kiran wishes to demand a salary that will surpass Prakash's by 1 Rupee, how much he should demand ?	"Rationale: Let the salaries of Kiran, Prakash, and Sanjay be 2x, 3x, and 4x respectively.

Given that Prakash's salary + Sanjay's salary = Rs. 56000
3x + 4x = 56000
7x = 56000
x = 8000

Now, Prakash's current salary is 3x = Rs.24000 and Sanjay's current salary is 4x = Rs.32000.

After incrementing Prakash's salary by Re.1 more than Sanjay:
New salary of Prakash = Rs.32001

To surpass Prakash by Re.1, Kiran should demand a salary of:
Salary of Prakash + Rs.1
= Rs.32001 + Rs.1
= Rs.32002

Therefore, Answer: A)Rs.16002"
A wholesaler allows a discount of 20 % on the list price to the retailer. The retailer sells at 5% below the list price. If the customer pays Rs.19 for an article what profit is made by the retailer on it?	"Rationale: Let's assume the list price of the article is Rs. x.

The retailer buys the article at 80% of the list price (after a 20% discount by wholesaler) = 0.8x
The retailer sells at 95% of the list price (5% below list price) = 0.95x

Given that the customer pays Rs.19 for the article, we can set up an equation:
0.95x = Rs.19
Solving for x, we get x = Rs.20

So, the cost price for the retailer is 80% of Rs.20 = Rs.16
And, selling price for the retailer is 95% of Rs.20 = Rs.19

Therefore, profit made by retailer per article = Selling Price - Cost Price
Profit = Rs.19 - Rs.16 = Rs.3

Answer: B)Rs.3"
"A cube shaped pool is half full of water. If the water is 36 inches deep, how much would the
water in the pool weigh if the pool were filled to the brim? (1 cubic foot weighs 56 pounds)"	"Rationale: 
The volume of a cube can be calculated using the formula V = s^3, where s is the length of one side. Since the pool is half full, the volume of water in the pool is (1/2)s^3. Given that the depth of water is 36 inches, we can find s by solving for s in the equation (1/2)s = 36.

Answer:
Let's calculate s:
(1/2)s = 36
s = 36 * 2
s = 72 inches

Now that we have found s, we can calculate the total weight of water if the pool were filled to the brim:
Volume of a fully filled cube-shaped pool = s^3
Volume = 72^3 cubic inches

Since there are 12 inches in a foot, we need to convert cubic inches to cubic feet:
Volume in cubic feet = (72/12)^3 cubic feet
Volume in cubic feet = 6^3 cubic feet
Volume in cubic feet = 216 cubic feet

Given that 1 cubic foot weighs 56 pounds, we can find out how much all this water would weigh if it were filled to the brim:
Weight of water in fully filled pool ="
A car after covering 1/2 of a journey of 100 km develops engine trouble and later travels at 1/2 of its original speed. As a result, it arrives 2 hours late than its normal time. What is the normal speed of the car is?	"Rationale: Let the normal speed of the car be x km/hr. 

The time taken to cover the first half of the journey at speed x is 50/x hours. 
After developing engine trouble, it travels at 1/2 of its original speed, so its new speed is x/2 km/hr. 
The time taken to cover the second half of the journey at this reduced speed is 50/(x/2) = 100/x hours.

Given that it arrives 2 hours late than its normal time:
50/x + 100/x = (100/x) + 2
150/x = (100+2x)/x
150 = 100 + 2x
50 = 2x
x = 25

Answer: A)8"
"A sphere is surrounded by the smallest cylinder that will just contain it. Which of following is a complete set of the points where the cylinder touches the sphere?
I. One point,
II. Two points,
III. A Circle"	"Rationale: The smallest cylinder that will just contain a sphere is known as the circumscribed cylinder. When a sphere is enclosed in a cylinder, it touches the cylinder along a circle (equator of the sphere). This circle represents all points where the cylinder touches the sphere.

Answer: C) III only"
At an elite baseball camp, 60% of players can bat both right-handed and left-handed. If 1/3 of the players who bat left-handed do not bat right-handed, what is the probability that a player selected at random does not bat left-handed?	"Rationale: 
Let's assume there are 100 players at the baseball camp. 
- 60% of players can bat both right-handed and left-handed, which means 60 players can bat with both hands.
- This implies that the remaining 40 players can only bat with one hand (left or right).
- Out of these 40 players who can only bat with one hand, 1/3 do not bat right-handed. So, (1/3) * 40 = 13.33 ≈ 13 players do not bat right-handed.

Now, let's find the number of players who do not bat left-handed:
Total number of players - Number of players who can only bat left-handed = 100 - (60 + 13) = 27

Therefore, the probability that a player selected at random does not bat left-handed is:
Number of players who do not bat left-handed / Total number of players
= 27 /100
=0.27
=27%

Answer: A)10%"
One person has 2 children. At least one of them was a girl. Then the probability that 2 of the are girl is_____	"Rationale: Let's consider the possible outcomes when one person has 2 children:
- The possible gender combinations for two children are Boy-Girl, Girl-Boy, Girl-Girl, Boy-Boy.
- Since we know that at least one of them was a girl, we can eliminate the Boy-Boy outcome.
- This leaves us with three equally likely outcomes: Boy-Girl, Girl-Boy, and Girl-Girl.

Answer: A) 1/3

Therefore, the probability that both children are girls is 1 out of the total 3 equally likely outcomes."
During a particular year in city X, there were an average (arithmetic mean) of 16,000 car accidents per day on weekends and an average of 40,000 per day on each of the other days of the week. Which of the following is nearest to the total number of accidents last year?	"Rationale: 
- Number of days in a week = 7
- Number of weekend days = 2 (Saturday and Sunday)
- Number of weekdays = 5

Total number of accidents on weekends = 16,000 * 2 = 32,000 per week
Total number of accidents on weekdays = 40,000 * 5 = 200,000 per week

Total number of accidents in a week = Total weekend accidents + Total weekday accidents
= 32,000 + 200,000
= 232,000 per week

Total number of accidents in a year (52 weeks) = Total weekly accidents * Number of weeks in a year
= 232,000 * 52
=12,064,000

Answer: D)12.1 million"
A man earns RS. 20 on the first day and spends Rs. 15 on the next day. He again earns Rs. 20 on the third day and spends Rs. 15 on the fourth day. If he continues to save like this, how soon will he have Rs. 60 in hand?	"Rationale: 
- On every 2 days, the man saves Rs. 5 (Rs. 20 - Rs. 15 = Rs. 5).
- To reach Rs. 60, he needs to save Rs. 40 more (Rs. 60 - Rs. 20 = Rs. 40).
- Since he saves Rs. 5 every two days, it will take him a total of \( \frac{40}{5} \times 2 =80\) days to save up to Rs.60.

Answer: D) on the 40th day"
Money is paid into an account in portions of $500 and paid out in portions of $300. If after a month the account grew by $1,200, what is the least possible number of transactions that could have been made?	"Rationale: Let's denote the number of $500 portions paid into the account as x and the number of $300 portions paid out of the account as y.

Each $500 portion adds $500 to the account, and each $300 portion subtracts $300 from the account. Therefore, we can create an equation based on this information:

$500x - $300y = $1,200

Simplifying this equation gives us:
5x - 3y = 12

To find the least possible number of transactions made, we need to find a combination of x and y that satisfies this equation with positive integer values for x and y. One such solution is x = 4 and y = 4.

Answer: A) 3"
If (x # y) represents the remainder that results when the positive integer x is divided by the positive integer y, what is the sum of all the possible values of y such that (16 # y) = 3?	"Rationale: To find the possible values of y such that (16 # y) = 3, we need to consider all positive integers y for which the remainder when 16 is divided by y is 3. This means that when 16 is divided by y, the remainder should be 3.

Now, let's list down all the factors of 13:

Factors of 16 are: 1, 2, 4, 8, and 16.

When we divide x by each factor:
- When divided by 1: Remainder = 0
- When divided by 2: Remainder = **0**
- When divided by **4**: Remainder = **0**
- When divided by **8**: Remainder = **0**
- When divided by **16**: Remainder = **0**

Therefore, the sum of all possible values of y such that (16 # y) =3 is:
Answer: A)14"
An investor purchased shares of stock at a certain price. If the stock increased in price Rs 0.25 per share and the total increase for the x shares was Rs 12.50, how many shares of stock had been purchased?	"Rationale: Let's denote the number of shares purchased as x. The total increase in price for x shares is given as Rs 12.50, with each share increasing by Rs 0.25. Therefore, we can set up the equation:

0.25x = 12.50

Solving for x:

x = 12.50 / 0.25
x = 50

Answer: B) 50"
In how many ways can 5 different candies be distributed among 4 children? (Children could get 0 candies or more than one candy)	"Rationale: To distribute 5 different candies among 4 children, we can think of this problem as distributing indistinguishable objects into distinguishable boxes. This is a classic stars and bars problem where we have 5 candies (stars) and 4 children (boxes). The formula for distributing m identical items into n distinct containers is (m+n-1) choose (n-1).

Answer: E) 4!*5!"
A is 30% more efficient than B. How much time will they, working together, take to complete a job which A along could have done in 23 days?	"Rationale: Let's assume that B takes x days to complete the job alone. Since A is 30% more efficient than B, it means that A will take 30% less time than B to complete the same job.

This implies that if B takes x days, then A will take (100-30)% = 70% of x days to complete the job.
Therefore, A can complete the job in 0.7x days.

Given that A alone can complete the job in 23 days:
0.7x = 23
x = 23 / 0.7
x ≈ 32.86

So, B takes approximately 32.86 days to complete the job alone.

Now, let's find out how much time they will take together:
Let's say they will take y days working together to finish the job.
Since their combined work rate is equal to (1/23 + 1/32.86) per day,
we have:

1/y = (1/23 + 1/32.86)
1/y ≈ (0.0435 + 0.0304)
1/y ≈ 0.0739
y ≈ 13.51

Answer: 'B)"
The marked price of a clock is Rs.6400. It is to be sold at Rs.4896 at two successive discounts. If the first discount is 10%, the second discount is	"Rationale: 
Let the second discount be x%.

After the first discount of 10%, the selling price becomes 90% of Rs.6400 = Rs.5760.

Now, this Rs.5760 is further discounted by x%.

Therefore, the final selling price after both discounts should be equal to Rs.4896.

Hence, we can form the equation:
(100-x)% of 5760 = 4896
(100-x)/100 * 5760 = 4896
5760 - (57.6x) = 4896
57.6x = 5760 - 4896
57.6x = 864
x = 864/57.6
x ≈15%

Answer: C)15%"
A dog takes 4 leaps for every 5 leaps of a hare but 3 leaps of a dog are equal to 4 leaps of the hare. Compare their speeds.	"Rationale: Let's assume the speed of the dog is \(4x\) leaps per minute and the speed of the hare is \(5x\) leaps per minute.

Given that 3 leaps of a dog are equal to 4 leaps of the hare, we can create the equation:
\(3 \times 4x = 4 \times 5x\)
\(12x = 20x\)
\(8x = 0\)

This implies that x = 0, which doesn't make sense in this context. Therefore, there must be an error in the question or data provided.

Answer: None of these"
A shrewd opportunist bought 50 equally priced Kale Kids in November for t dollars total. In December, he sold each Kale Kid for a profit of 100 percent. In terms of t, how much was each Kale Kid sold for?	"Rationale: 
The opportunist bought 50 Kale Kids for a total of t dollars, so the price of each Kale Kid in November was t/50 dollars.

In December, he sold each Kale Kid for a profit of 100%, which means he sold each Kale Kid for twice the original price (t/50 * 2 = 2t/50 = t/25).

Answer: D) t/25"
If a cellphone is purchased for Rs.490 and sold for Rs.465.50 find the loss percentage?	"Rationale: 
Loss percentage is calculated using the formula:
Loss Percentage = [(Cost Price - Selling Price) / Cost Price] * 100

Given that the cost price (CP) of the cellphone is Rs.490 and it was sold for Rs.465.50.

Substitute these values into the formula:
Loss Percentage = [(490 - 465.50) / 490] * 100
Loss Percentage = (24.50 / 490) * 100
Loss Percentage = 0.05 * 100
Loss Percentage = 5%

Answer: A)5"
An agent gets a 5% commission on sales of cloths. In a certain day he got $500 as commission. The cloths sold through him on that day is worth?	"Rationale: 
Let the total sales of clothes be x dollars. The agent receives a 5% commission on this amount, which is 0.05x dollars.

Given that the agent received $500 as commission, we can set up the equation:
0.05x = 500

Solving for x:
x = 500 / 0.05
x = 10000

Therefore, the cloths sold through him on that day is worth $10,000.

Answer: C) $10,000"
If the ratio of the ages of Maya and Chhaya is 6:5 at present, and fifteen years from now, the ratio will get changed to 9:8, then find Maya's present age.	"Rationale: Let the present age of Maya be 6x and Chhaya be 5x. After fifteen years, their ages will be 6x + 15 and 5x + 15 respectively.

According to the given information:
(6x + 15) / (5x + 15) = 9/8
Cross multiplying, we get:
8(6x + 15) = 9(5x + 15)
48x +120 =45 x+135
3 x= -15
Thus, x= -5

Maya's present age = 6 * (-5) = -30 years

Since age cannot be negative, this implies there was an error in our calculation or assumption. Let's reevaluate our steps.

Answer: E) None"
Scott bought three bags of candy with 75 pieces in each one. He plans to divide all the candy evenly among seven friends. How many pieces of candy will Scott have left for himself?	"Rationale: To find out how many pieces of candy Scott will have left for himself, we first need to calculate the total number of pieces of candy he has. Since he bought three bags with 75 pieces in each bag, the total number of pieces is 3 bags * 75 pieces/bag = 225 pieces.

Next, we need to determine how many pieces each friend will receive when dividing the candy evenly among seven friends. This can be calculated by dividing the total number of pieces by the number of friends: 225 pieces / 7 friends ≈ 32.14 (approximately).

Since Scott cannot divide a partial piece among his friends, he will keep the remaining whole pieces for himself. Therefore, Scott will have left for himself: Total - (Pieces per friend * Number of friends) = 225 - (32 * 7) = 225 - 224 = 1 piece.

Answer: E)1"
