question	answers
A certain state imposes a 4% tax on the nightly rates of hotel room. A certain hotel in this state also charges a $2.00 nightly fee per room, which is not subject to tax. If the total charge for a room for one night was $72.72 , what was the nightly rate of the room?	"To find the nightly rate of the room, we need to consider that the total charge includes both the nightly rate and the $2.00 fee per room.

Let x be the nightly rate of the room.

Given:
- 4% tax is imposed on the nightly rates.
- $2.00 nightly fee per room is not subject to tax.
- Total charge for a room for one night was $72.72.

So, we can set up an equation:
Nightly rate + $2.00 fee + 4% tax on nightly rate = Total charge
x + 2 + 0.04x = 72.72
1.04x = 70.72
x = 70.72 / 1.04
x ≈ $68

Therefore, the nightly rate of the room was approximately $68.

Answer: A)$68.00"
Alex has enough money to buy 30 bricks. If the bricks each cost 20 cents less, Grace could buy 10 more bricks. How much money does Grace have to spend on bricks?	"Let's denote the cost of each brick as x cents.

According to the given information:
Alex can buy 30 bricks, so Alex spends 30x cents.
Grace could buy 10 more bricks if each brick costs 20 cents less, which means Grace would spend (30 + 10)x = 40x cents.

Given that Alex and Grace spend the same amount on bricks:
30x = 40x
Solving for x:
-10x = 0
x = $0

Now we know that each brick originally costs $0. 

To find out how much money Grace has to spend on bricks:
If each brick costs $0.20 less than before, then Grace needs to pay $0 - $0.20 = -$0.20 per brick.
Since it doesn't make sense for the price of a brick to be negative, there seems to be an error in the question or calculations provided.

Therefore, based on this analysis, it is not possible to determine how much money Grace has to spend on bricks with the given information and options."
In a poll of 45,000 dentists, only 30 percent responded; of these, 20 percent claimed to prefer Toothpaste A. How many of the dentists who responded did not claim a preference for Toothpaste A?	"To find the number of dentists who responded and preferred Toothpaste A, we first calculate the total number of dentists who preferred Toothpaste A:

Total dentists = 45,000
Percentage who responded = 30%
Number of responding dentists = 30% of 45,000 = 0.30 * 45,000

Out of those who responded:
Percentage who preferred Toothpaste A = 20%
Number of dentists who preferred Toothpaste A = 20% of (0.30 * 45,000) = 0.20 * (0.30 * 45,000)

Now to find the number of dentists who responded but did not prefer Toothpaste A:
Number of dentists who did not prefer Toothpaste A = Number of responding dentists - Number of dentists who preferred Toothpaste A

Let's calculate this step by step:

1. Calculate the number of responding dentists:
Number of responding dentists = 0.30 * 45,000

2. Calculate the number of dentists who preferred Toothpaste A:
Number of dentists preferring Toothpaste A = 0.20 * (0.30 * 45,000)

3. Calculate the number of responding dentists who did"
"In recent Malta elections, in a particular constituency, 100,000 votes were cast and each vote was cast for
either Candidate A or Candidate B. If candidate A has won by 500 votes, what percent of the 100,000 votes
were cast for Candidate A?"	"To find the percentage of votes cast for Candidate A, we first need to determine how many votes Candidate A received.

Given that Candidate A won by 500 votes and there were a total of 100,000 votes cast, we can calculate the number of votes received by Candidate A as follows:

Number of votes for Candidate A = Total number of votes - Number of votes by which Candidate A won
Number of votes for Candidate A = 100,000 - 500
Number of votes for Candidate A = 99,500

Now, to find the percentage of votes cast for Candidate A out of the total 100,000 votes:

Percentage = (Number of votes for Candidate A / Total number of votes) * 100%
Percentage = (99,500 / 100,000) * 100%
Percentage ≈ 99.5%

Therefore, approximately 99.5% of the 100,000 votes were cast for Candidate A.

Answer: C)50.5%"
Glenn gains 10% from selling her scarf at $44. Her mom tells her she'll buy it from her but only after a family discount of 5%. What is Glenn's gain percent if she sells the scarf to her mom?	"Let's break down the problem step by step:

1. Glenn sells her scarf at $44 and gains 10%.
   So, the selling price after a 10% gain = $44.
   Let x be the cost price of the scarf.
   Selling Price = Cost Price + Gain
                44 = x + 0.10x
                44 = 1.10x
                x = 44 / 1.10
                x ≈ $40 (Cost Price)

2. Her mom buys it from her with a family discount of 5%.
   The discounted price her mom pays for the scarf:
   Discounted Price = Selling Price - Discount
                    = $44 - (5% of $44)
                    = $44 - (0.05 * $44)
                    ≈ $41.80

3. Glenn's gain when she sells the scarf to her mom:
   Gain % = [(Selling Price - Cost Price) / Cost Price] * 100%
          = [($41.80 - $40) / $40] *100%
          ≈ [($1.80) / $40] *100%
          ≈ (0.045) *100%
         "
A trader bought some books for Rs 8 each. The wholesaler gave 15% discount on each of the books. If the discount amount deducted on the bill was Rs 216, how many books did he buy?	"Let's break down the given information and solve the problem step by step:

Let the number of books bought be x.

Cost price of each book = Rs 8

Total cost without discount = Cost price * Number of books = 8x

Discount rate = 15%

Discount amount on each book = 15% of Rs 8 = (15/100) * 8 = Rs 1.20

Given that the total discount amount deducted on the bill was Rs 216, we can set up an equation:

Total discount amount = Discount per book * Number of books
216 = 1.20x

Now, we can solve for x to find out how many books were bought:

x = 216 / 1.20
x ≈180

Therefore, the trader bought a total of approximately 180 books.

Answer: A)180"
"Elliot has $1500 to buy a new laptop. His father gave him another $600 for a better model. Elliot saw a new mobile and he decided to by it for 400$. Also, he bought a laptop for $1300
How much money had Elliot left with?"	"Let's calculate the total amount of money Elliot had and then subtract the total amount he spent to find out how much money he had left.

Total amount Elliot had:
$1500 (initial amount) + $600 (from his father) = $2100

Total amount Elliot spent:
$400 (on the new mobile) + $1300 (on the laptop) = $1700

Amount left with Elliot:
$2100 - $1700 = $400

Therefore, Elliot had $400 left with him.

Answer: B)$400"
Bill's shop sells candy bars by the full case. 80% of a full case is added to 96 candy bars already in the case to fill it. How many candy bars are in a full case?	"Let's break down the problem step by step:

1. Let's assume the number of candy bars in a full case is x.
2. 80% of a full case is added to 96 candy bars already in the case, so we have 0.8x + 96 = x.
3. Simplifying the equation, we get:
   0.8x + 96 = x
   Subtracting 0.8x from both sides:
   96 = 0.2x
   Dividing by 0.2 on both sides:
   x = 480

Rationale: 
The total number of candy bars in a full case is found to be 480 after solving the given equation.

Answer: E)480 candy bars"
Lucy has enough money to go to Canada every 6 years, while Luke has enough to go every 9 years. If they pool their money, how often can they go?	"To solve this question, we need to find the least common multiple (LCM) of 6 and 9 as Lucy can go every 6 years and Luke can go every 9 years.

Step 1: Find the prime factors of each number:
- Prime factors of 6 are 2 * 3.
- Prime factors of 9 are 3 * 3.

Step 2: Identify the common and uncommon prime factors:
- The common factor is only one ""3"".
- The uncommon factors are ""2"" from Lucy's frequency and an extra ""3"" from Luke's frequency.

Step 3: Calculate the LCM by multiplying all prime factors together:
LCM = (2 * 3 * 3) =18

Therefore, they can go together every \(18\) years. 

Answer: B) once every \(15\) years"
A group of stock analysts had a contest. Each analyst picked 5 stocks out of a list of 30 stocks to purchase. If each of the stocks was picked exactly 6 times, how many analysts were in the contest?	"Let's break down the information given in the question:
- Each analyst picked 5 stocks.
- Each stock was picked exactly 6 times.

To find out how many analysts were in the contest, we can set up an equation based on the total number of stock selections made by all analysts.

Total number of stock selections = Number of analysts * Number of stocks each analyst picked

Since each stock was picked exactly 6 times and there are a total of 30 stocks, the total number of stock selections is:
30 stocks * 6 picks per stock = 180 total picks

Each analyst picked 5 stocks, so for each analyst:
5 picks per analyst

Let's denote the number of analysts as x. Therefore, the total number of picks made by all analysts would be:
Total picks = Number of analysts * Picks per analyst
180 = 5x
x = 180 / 5
x = 36

Therefore, there were a total of 36 analysts in the contest.

Answer: C)36"
Which is a longer period of time: 3 hours or 175 minutes?	"To compare which is a longer period of time between 3 hours and 175 minutes, we need to convert one of the units so they are both in the same unit.

1 hour = 60 minutes

Now, we can see that:
3 hours = 3 * 60 = 180 minutes

Comparing:
- 3 hours is equal to 180 minutes
- And we have been given that 175 minutes is less than this value.

Therefore, the longer period of time is **3 hours**.

Answer: C"
The root(s) of 15/(x2 - 4) – 2/(x - 2) = 1 is (are):	"Given equation: 15/(x^2 - 4) - 2/(x - 2) = 1

To solve this equation, we first need to simplify it by finding a common denominator for the fractions on the left side.

The common denominator for the fractions is (x + 2)(x - 2), which is the difference of squares in the denominator of the first fraction.

Rewriting the equation with a common denominator:
15/(x^2 - 4) = (15/x^2)*(1/((x + 2)(x - 2)))
-2/(x - 2) = (-2*(x + 2))/((x + 2)(x - 2))

Substitute back into the original equation:
(15/x^3)*(1/((x + 2)(x - 2))) - (-4*(1)/(( x+   )=1
(15(x+22)+8)/( x+22)=1
(15(x+22)+8)=( x+22)
15(x-23)+8=x-23
14(x-23)=0

Now, solving for x:
14(x-23)=0
=> x-23=0
=> x=23"
A farming field can be ploughed by 6 tractors in 4 days. When 6 tractors work together, each of them ploughs 120 hectares a day. If two of the tractors were moved to another field, then the remaining 4 tractors could plough the same field in 5 days. How many hectares a day would one tractor plough then?	"Given:
- 6 tractors can plough a field in 4 days.
- When 6 tractors work together, each of them ploughs 120 hectares a day.
- If two tractors are moved to another field, then the remaining 4 tractors could plough the same field in 5 days.

Let's denote the number of hectares one tractor would plough per day as x.

From the information given, we can set up equations based on the work done by the tractors:

1. For all 6 tractors working together:
6 * 120 = total area ploughed in a day

2. For just 4 tractors working after moving two:
4 * x = total area ploughed in a day

Using these equations and information about days taken for both scenarios, we can solve for x.

Rationale:
If all six tractors each ploughing at a rate of 120 hectares/day cover an entire field in four days, then they collectively cover \(6 \times 120 \times 4\) hectares. This gives us the total area of the field.

When only four out of those six tractors are left to complete that same field over five days, their combined daily rate is \(4x"
On sports day, if 24 children were made to stand in a column, then 10 columns could be formed. If 240 children were made to stand in a column, then how many columns could be formed?	"Let's analyze the given information step by step:

Given:
- 24 children can form 10 columns.
- We need to find out how many columns can be formed with 240 children.

Let's first calculate how many children are there in each column when 24 children form 10 columns:
Number of children in each column = Total number of children / Number of columns
Number of children in each column = 24 / 10
Number of children in each column = 2.4 (This means there are approximately 2.4 children per column)

Now, we want to find out how many columns can be formed with 240 children:
Number of columns = Total number of children / Number of children in each column
Number of columns = 240 / 2.4
Number of columns = 100

Therefore, when 240 children are made to stand in a column, we can form **100** columns.

Answer: E)100"
The salaries of Kiran, Prakash and Sanjay are in the ratio of 2 : 3 : 4. The salary of Prakash and Sanjay together is Rs. 56000. The manager plans to increment the salary of Prakash from his current package and does so by increasing his salary so that it is 1 rupee more than that of Sanjay. Now, if Kiran wishes to demand a salary that will surpass Prakash's by 1 Rupee, how much he should demand ?	"Given:
Salaries ratio of Kiran, Prakash, and Sanjay = 2 : 3 : 4
Let the common multiplier be x.
So, their salaries are 2x, 3x, and 4x respectively.

It is given that the salary of Prakash and Sanjay together is Rs. 56000.
Therefore,
3x + 4x = 56000
7x = 56000
x = 8000

Now we can find their individual salaries:
Kiran's salary = 2 * x = Rs. (2 * 8000) = Rs.16000
Prakash's salary = 3 * x = Rs. (3 *8000) = Rs.24000
Sanjay's salary = 4 * x= Rs. (4*8000) = Rs.32000

After incrementing Prakash's salary so that it is one rupee more than Sanjay's:
New salary of Prakash will be: Rs.(32000 +1) = Rs.32001

To surpass Prakash by one rupee, Kiran should demand a salary of:
Rs.(24001 +1) 
=Rs.24002

Therefore, Kiran should demand"
A wholesaler allows a discount of 20 % on the list price to the retailer. The retailer sells at 5% below the list price. If the customer pays Rs.19 for an article what profit is made by the retailer on it?	"Given:
- The wholesaler allows a 20% discount on the list price to the retailer.
- The retailer sells at 5% below the list price.
- The customer pays Rs.19 for an article.

Let's denote:
- List price = L

The amount paid by the customer is after both discounts, so we need to calculate it step by step:

1. After a 20% discount from the wholesaler, the retailer pays 80% of the list price:
Retailer's cost = 0.8 * L

2. The retailer then sells at 5% below this cost:
Selling price = Retailer's cost - (5% of Retailer's cost)
Selling price = Retailer's cost - (0.05 * Retailer's cost)
Selling price = Retailer's cost - 0.05 * 0.8L
Selling price = 0.95 * Retailer's cost

3. Given that the customer pays Rs.19 for an article, we have:
Selling price = Rs.19

Now, equating Selling Price to Rs.19 with our calculations above:

0.95 * Retailer's cost = Rs.19
0.95 * 0."
"A cube shaped pool is half full of water. If the water is 36 inches deep, how much would the
water in the pool weigh if the pool were filled to the brim? (1 cubic foot weighs 56 pounds)"	"To find the weight of the water in the pool when it is filled to the brim, we first need to calculate the volume of water in the pool.

Given:
- The pool is half full, so its total depth is 36 inches.
- The pool is cube-shaped.

Let's denote:
- Side length of the cube = x inches
- Depth of water in half-filled pool = 36 inches

Since the pool is half full, then its depth when completely filled will be 2 * 36 = 72 inches.

The volume of water in a cube-shaped pool can be calculated using:
Volume = side length * side length * depth

For a half-filled cube-shaped pool:
Volume = x * x * 36 cubic inches

When filled to the brim:
Volume = x * x * 72 cubic inches

Given that 1 cubic foot weighs 56 pounds, we need to convert cubic inches to cubic feet and then calculate the weight of water:

1 cubic foot = (12*12*12) cubic inches
So, weight per unit volume = (56 pounds / (12*12*12) cubic inches)

Now, let's substitute values and solve for weight:

Weight when filled to brim = (x*x*72"
A car after covering 1/2 of a journey of 100 km develops engine trouble and later travels at 1/2 of its original speed. As a result, it arrives 2 hours late than its normal time. What is the normal speed of the car is?	"Let the normal speed of the car be x km/hr.

Given that the car covers half of the journey at its normal speed and half at half its original speed. 

The time taken to cover the first half of the journey at normal speed = (50 / x) hours

The time taken to cover the second half of the journey at half its original speed = (50 / (x/2)) = 100 / x hours

Given that due to engine trouble, it arrives 2 hours late than its normal time:

(50 / x) + (100 / x) = 100 / x + 2

Solving this equation gives:

(50/x) + (200/x) = 100/x + 2
250/x = 100/x + 2
150/x = 2
x = 150/2
x =75 km/hr

Therefore, the normal speed of the car is 75 km/hr.

Answer: The correct option is not among those provided."
"A sphere is surrounded by the smallest cylinder that will just contain it. Which of following is a complete set of the points where the cylinder touches the sphere?
I. One point,
II. Two points,
III. A Circle"	"To find the number of keystrokes needed to type the numbers from 1 to 500, we can break it down by the number of digits in each number:

- There are 9 one-digit numbers from 1 to 9.
- There are 90 two-digit numbers from 10 to 99.
- There are 401 three-digit numbers from 100 to 500.

Calculating the total keystrokes:
Total keystrokes = (Number of one-digit numbers * Number of digits in one-digit number) + (Number of two-digit numbers * Number of digits in two-digit number) + (Number of three-digit numbers * Number of digits in three-digit number)
Total keystrokes = (9 * 1) + (90 * 2) + (401 *3)
Total keystrokes = 9 +180 +1203
Total keystrokes =1392

Therefore, the answer is:
Answer: b"
At an elite baseball camp, 60% of players can bat both right-handed and left-handed. If 1/3 of the players who bat left-handed do not bat right-handed, what is the probability that a player selected at random does not bat left-handed?	"Let's break down the information given in the question:

1. 60% of players can bat both right-handed and left-handed.
2. 1/3 of the players who bat left-handed do not bat right-handed.

To find the probability that a player selected at random does not bat left-handed, we need to consider two cases:
- Players who can bat both right-handed and left-handed
- Players who only bat right-handed

Let's denote:
- Total players = 100 (for easier calculation)
- Players who can bat both ways = 60
- Players who only bat left-handed = x
- Players who only bat right-handed = y

From the given information:
x + y = 40 (since total players - those who can bat both ways)

Now, we know that 1/3 of the players who bat left-handed do not bat right-handed. This means out of x (players who only bat left), x/3 do not also bat right.

So, y = x/3

Substitute this into our previous equation:
x + x/3 = 40
Multiplying by 3 to clear fractions:
3x + x = 120
4x = 120
x = 30

Therefore,"
One person has 2 children. At least one of them was a girl. Then the probability that 2 of the are girl is_____	"To solve this question, we can use the concept of conditional probability.

Let's denote the events:
A: The first child is a girl
B: The second child is a girl

We are given that at least one of them was a girl. This means we have two possibilities:
1. The first child is a girl and the second child is also a girl (event A ∩ B)
2. The first child is a boy and the second child is a girl (complement of event A)

Now, let's calculate the probability of event A ∩ B occurring:
P(A) = Probability that the first child is a girl = 1/2
P(B|A) = Probability that the second child is a girl given that the first child is already known to be a girl = 1/2

Therefore, P(A ∩ B) = P(A) * P(B|A) = (1/2) * (1/2) = 1/4

The total probability when at least one of them was a girl can be calculated as follows:
Total probability = Event A ∪ Event B
Event A: Both children are girls (A ∩ B)
Event B: One boy and one girl (complement"
During a particular year in city X, there were an average (arithmetic mean) of 16,000 car accidents per day on weekends and an average of 40,000 per day on each of the other days of the week. Which of the following is nearest to the total number of accidents last year?	"To find the total number of car accidents in city X last year, we first need to calculate the average number of accidents per day for the entire week.

On weekends (2 days): 16,000 accidents/day * 2 days = 32,000 accidents
On weekdays (5 days): 40,000 accidents/day * 5 days = 200,000 accidents

Total number of accidents per week: 32,000 + 200,000 = 232,000 accidents

In a year with approximately 52 weeks:
Total number of accidents last year: 232,000 * 52 ≈12.064 million

Therefore, the nearest option to the total number of car accidents last year is:
Answer: D)12.1 million"
