,Unnamed: 0,question,answer,cluster,index
2454,2454,"In a classroom of 81 students, two-thirds are wearing striped shirts while the others are wearing checkered shirts. If there are 19 more students wearing shorts than checkered shirts, how many more students are wearing striped shirts than shorts?","81/3 = <<81/3=27>>27 students are wearing checkered shirts.
27 x 2 = <<27*2=54>>54 students are wearing striped shirts.
27 + 19 = <<27+19=46>>46 students are wearing shorts.
54 - 46 = <<54-46=8>>8 more students are wearing striped shirts than shorts.
#### 8",0,5081
2180,2180,"A group of six friends planned to buy a car. The cost of the car is $1700 and they plan to share the cost equally. They had a car wash to help raise funds, which would be taken out of the total cost. The remaining cost would be split between the six friends. At the car wash, they earn $500. However, Brad decided not to join in the purchase of the car. How much more does each friend have to pay now that Brad isn't participating?","Start by finding the total that is left, $1700 car price - $500 earned at car wash = $<<1700-500=1200>>1200 remaining.
So the six friends should pay $1200 / 6 people = $<<1200/6=200>>200 each.
Since Brad is not joining, then the 5 friends have to split Brad's share which is $200/5 = $<<200/5=40>>40 each.
#### 40",1,4265
3471,3471,"Teddy is a pillow-maker.  He uses 3 less than 5 pounds of fluffy foam material to make each pillow.  If Teddy has three tons of fluffy foam material, how many pillows can he make?","Three less than 5 is 5-3=<<5-3=2>>2.
Since one ton is 2000 pounds, three tons is 2000*3=<<6000=6000>>6000 pounds.
Thus, in 6000 pounds, he can make 6000/2=<<6000/2=3000>>3000 pillows.
#### 3,000",2,2361
3722,3722,"Jorge is 24 years younger than Simon. In 2005, Jorge is 16 years old. In 2010, how old would Simon be?","In 2005, Simon was 16+24 = <<16+24=40>>40 years old.
There are 2010-2005 = <<2010-2005=5>>5 years between 2005 and 2010.
In 2010 Simon would be 40+5 = 45 years old.
#### 45",3,1556
3637,3637,"Gretchen is a scuba diver.  She likes to hunt for treasure on the ocean's floor, but when she finds something to keep, she must carry it back to the surface of the water to give it to her shipmate on the boat.  She can only carry 3 objects at a time while she swims underwater.  If she finds 17 objects underwater, what is the fewest number of trips to the surface of the water she must take to carry all 17 objects to the boat?","To carry 17 objects, three at a time, it takes 17/3 = 5 and 2/3 loads.
This calculation means that she takes 5 trips carrying 3 objects per trip, and then she takes one additional trip carrying only two objects.
Thus, in reality, she takes 5 + 1 = <<5+1=6>>6 trips to the surface.
#### 6",4,4400
1791,1791,"At a convention, 16 of 36 delegates arrived with pre-printed name badges. Half of the remaining delegates made their own, hand-written name badges. How many delegates were not wearing name badges?","There were 36-16=<<36-16=20>>20 without pre-printed name badges.
Then 20/2=<<20/2=10>>10 made hand-written badges
There were 20-10=<<20-10=10>>10 with no name badge.
#### 10",0,108
180,180,"Derek has $960 to buy his books for the semester. He spends half of that on his textbooks, and he spends a quarter of what is left on his school supplies. What is the amount of money Derek has left?","Amount spent on textbooks is 960/2 = <<960/2=480>>480 dollars.
Amount spent on school supplies is 480/4 = <<480/4=120>>120 dollars.
Amount Derek has left 960-480-120 = <<960-480-120=360>>360 dollars.
#### 360",1,1071
5903,5903,The coffee shop sold 8 more than four times the number of lattes as it did teas. If 6 teas were sold how many lattes did the coffee shop sell?,"Four times the number of teas sold is 4*6=<<4*6=24>>24
24+8=<<24+8=32>>32 lattes were sold
#### 32",2,2658
2125,2125,"For every 1 year a human ages, a dog ages 7 years.  When Max is 3, how much older, in dog years, will his 3-year-old dog be?","The 3-year-old dog ages 7 years to one human year so he will technically be 3*7 = <<3*7=21>>21 years old in dog years
Max's dog will be 21 when Max turns 3 so the age difference is 21-3 = <<21-3=18>>18
#### 18",3,4183
6268,6268,"Maryann spends seven times as long doing accounting as calling clients. If she worked 560 minutes today, how many minutes did she spend calling clients?","Let a be the amount of time Maryann spends doing accounting and c be the amount of time she spends calling clients: We know that a + c = 560 and a = 7c.
Substituting the second equation into the first equation, we get 7c + c = 560
Combining like terms, we get 8c = 560
Dividing both sides by 8, we get c = 70
#### 70",4,3660
7040,7040,There are 20 dolphins in the aqua park. One-fourth of the dolphins are fully trained. Two-third of the remaining dolphins are currently in training and the rest will be trained next month. How many dolphins will be trained next month?,"20 x 1/4 = <<20*1/4=5>>5 dolphins are fully trained.
So, 20 - 5 = <<20-5=15>>15 dolphins are not yet fully trained.
15 x 2/3 = <<15*2/3=10>>10 are currently in training.
Therefore, 15 - 10 = <<15-10=5>>5 dolphins will be trained next month.
#### 5",0,4899
4252,4252,"Maria bought a ticket to a ZOO. The regular price stands at $15, but she was able to get a 40% discount. How much did Maria pay for the ticket?","The discount Maria got was 40/100 * 15 = $<<40/100*15=6>>6.
That means the price for her ticket was 15 - 6 = $<<15-6=9>>9.
#### 9",1,1375
5737,5737,Paula has 20 candies to be given out to her six friends. She needs to buy four additional candies so she can give an equal number of candies to her friends. How many candies will each of her friends get?,"Paula will have a total of 20 + 4 = <<20+4=24>>24 candies.
Thus, each of her friends will receive 24/6 = <<24/6=4>>4 candies.
#### 4",2,2418
4566,4566,"Zion is 8 years old and his dad is 3 more than 4 times his age. In 10 years, how many years older is Zion's dad than him?","Four times Zion's age is 8 x 4 = <<8*4=32>>32.
So Zion's dad is 32 + 3 = <<32+3=35>>35 years old.
In 10 years, Zion will be 8 + 10 = <<8+10=18>>18 years old.
In 10 years, Zion's dad will be 35 + 10 = <<35+10=45>>45 years old.
Hence, in 10 years, Zion's dad will be 45 - 18 = <<45-18=27>>27 years older than Zion.
#### 27",3,3743
4458,4458,"If the normal hours of operation of Jean's business are 4 pm to 10p every day Monday through Friday, and from 6 pm to 10 pm on weekends, how many hours is the business open in a week?","First, we find the number of hours per weekday by subtracting the smaller number time from the larger one, finding 10-4= <<10-4=6>>6 hours per weekday.
As there are 5 weekdays, this means the business is open 6*5=30 hours a week on the weekdays.
Then we find out the amount of time the business is open on a weekend day, using the same process as we did with the weekdays, finding Jean's business is open 10-6= <<10-6=4>>4 hours each weekend day.
Since there are two weekend days, this means they are open 4*2=<<4*2=8>>8 hours on the weekends.
We add these two totals together to find that 30+8= <<30+8=38>>38 hours per week.
#### 38",4,1597
1427,1427,"The total number of dogs at an animal rescue center is 200. Mr. Tanner, the manager at the rescue center, gets a call that 100 dogs at another rescue center are to be moved because of weather problems. He agrees to bring the dogs to his rescue center, and after one week, gives out 40  animals for adoption. After a month, 60 more dogs were adopted by dog lovers. What's the total number of remaining animals in the adoption center after the last adoptions?","After taking in 100 more dogs, the number of dogs in the rescue center increased to 200+100 = 300.
After a week, the number of dogs was reduced to 300 - 40 = <<300-40=260>>260 after the adoptions.
So, there are 260 - 60 = 200 dogs left after 60 more dogs were adopted.
#### 200",0,1149
5236,5236,John decides to buy a month's supply of dog treats.  He gives his dog 2 treats a day and they cost $.1 each.  How much does he spend on the treats if the month is 30 days long?,"He gives his dog 2*30=<<2*30=60>>60 treats for the month
So that means it cost 60*.1=$<<60*.1=6>>6
#### 6",1,4428
3760,3760,"Clementine, Jake, and Tory make cookies for the school bake sale. Clementine baked 72 cookies. Jake baked twice as many cookies as Clementine. Tory baked half as many cookies as Jake and Clementine combined. They sell their cookies for $2 each. If they sell all their cookies, how much money do they make?","Clementine baked 72 cookies.
Jake baked 72 x 2 = <<72*2=144>>144 cookies.
Tory baked 216 / 2 = <<216/2=108>>108 cookies.
Together they baked 72 + 144 + 108 = <<72+144+108=324>>324 cookies
They raised 324 x 2 = $ <<324*2=648>>648
#### 648",2,3510
3757,3757,"In 5 years, Heath will be 3 times as old as Jude.  If Heath is 16 years old today, how old is Jude today?","In 5 years, Heath will be 16 + 5 = <<16+5=21>>21 years old.
In 5 years, Jude will be 21 / 3 = <<21/3=7>>7 years old.
The difference in their ages is 21 - 7 = <<21-7=14>>14 years.
Today, Jude will be 16 - 14 = <<16-14=2>>2 years old.
#### 2",3,870
5609,5609,"John plays a game for 4 hours a day every day for 2 weeks.  After all that time, he is only 40% done.  He increased his playtime to 7 hours a day.  How long until he finishes the game?","There are 7*2=<<7*2=14>>14 days in two weeks
So he played 14*4=<<14*4=56>>56 hours
That means the total length of the game is 56/.4=<<56/.4=140>>140 hours
So he has 140-56=<<140-56=84>>84 hours to beat the game
So it will take him 84/7=<<84/7=12>>12 days to beat the game
#### 12",4,703
1857,1857,"Alden's family invited their relatives for a family reunion on Christmas eve. There were 50 more female adults than male adults, and children were twice the total number of adults. If there were 100 male adults, how many people attended the family reunion?","If the number of female adults was 50 more than the males, then there were 100+50 = <<100+50=150>>150 females.
The total number of adults is 150+100 = <<150+100=250>>250
The children were twice the total number of adults, thus 2*250 = <<2*250=500>>500
The total number of people at the family reunion is 500+250 = <<500+250=750>>750
#### 750",0,3958
5845,5845,"To raise funds for her local soup kitchen, Didi enlisted the help of her family, friends, and neighbors. They donated 10 same-size cakes that she sliced into 8 slices per cake and started selling a slice for $1. A local business owner was so impressed by Didi's efforts that she offered to donate 50 cents for each slice Didi sold. A second business owner also offered to donate a quarter for each slice sold. If Didi sold all the slices, how much money did she raise?","All the cakes yielded 10 * 8 = <<10*8=80>>80 slices
Since Didi was selling each slice for $1, it means she sold everything for 80 * 1 = <<80*1=80>>80 dollars.
The first business owner donated 50/100 * 80 = <<50/100*80=40>>40 dollars.
The second business owner donated 25/100*80= <<25/100*80=20>>20 dollars
Adding both amounts gives 80 + 40 + 20 = <<80+40+20=140>>140 dollars
#### 140",1,2118
3432,3432,"Milly and Floretta are having a water balloon fight in their garden. They use 3 packs of their own water balloons and also use 2 packs of a neighbor’s water balloons. Each pack of water balloons contains 6 balloons. Milly and Floretta fill all of the balloons then split them evenly, but Milly takes an extra 7 balloons when Floretta isn't looking. How many water balloons is Floretta left with?","Milly and Floretta have a total of 3 packs of their own water balloons + 2 packs of the neighbor’s water balloons = <<3+2=5>>5 packs of water balloons.
So there is a total of 5 packs of water balloons * 6 balloons per pack of water balloons = <<5*6=30>>30 water balloons available.
As they split them evenly, they each have 30 water balloons / 2 = <<30/2=15>>15 water balloons.
After Milly steals some balloons, Floretta is left with 15 – 7 = <<15-7=8>>8 water balloons.
#### 8",2,3837
1117,1117,The age of Gladys is equal to twice the sum of the ages of Billy and Lucas. Billy is 3 times younger than Gladys who is 30 years old now. How old will Lucas be three years from now?,"Billy's age is 30/3 = <<30/3=10>>10 years old.
The sum of the ages of Billy and Lucas is 30/2 = <<30/2=15>>15.
So, Lucas is 15 - 10 = <<15-10=5>>5 years old now.
Therefore, Lucas will be 5 + 3 = <<5+3=8>>8 years old three years from now.
#### 8",3,273
5173,5173,Bart makes a mixtape.  The first side has 6 songs.  The second side has 4 songs.  Each song is 4 minutes.  How long is the total tape?,"There are 6+4=<<6+4=10>>10 songs on the tape.
In total, the time is 10*4=<<10*4=40>>40 minutes.
#### 40",4,4716
6579,6579,"Megan is an actress. She was the lead actress in 80% of her work. In total, Megan participated in 100 plays. How many times Megan was not the lead actress?","Megan was the lead actress in 100 * 80% = <<100*80*.01=80>>80 plays.
So Megan was not the lead actress in 100 - 80 = <<100-80=20>>20 plays.
#### 20",0,2278
1644,1644,John has taken 10 pictures every day for the past 3 years.  He saves them in raw format so each memory card can store 50 images.  Each memory card costs $60.  How much does he spend on memory cards?,"He takes pictures for 3*365=<<3*365=1095>>1095 days
So he takes 10*1095=<<10*1095=10950>>10,950 pictures
That means he needs 10950/50=<<10950/50=219>>219 memory cards
So he spends 219*60=$<<219*60=13140>>13140 on memory cards
#### 13140",1,2035
3760,3760,"Clementine, Jake, and Tory make cookies for the school bake sale. Clementine baked 72 cookies. Jake baked twice as many cookies as Clementine. Tory baked half as many cookies as Jake and Clementine combined. They sell their cookies for $2 each. If they sell all their cookies, how much money do they make?","Clementine baked 72 cookies.
Jake baked 72 x 2 = <<72*2=144>>144 cookies.
Tory baked 216 / 2 = <<216/2=108>>108 cookies.
Together they baked 72 + 144 + 108 = <<72+144+108=324>>324 cookies
They raised 324 x 2 = $ <<324*2=648>>648
#### 648",2,3510
7325,7325,"John is 15 cm taller than Lena and 6 cm shorter than Rebeca. If John has a height of 152 cm, what is the height of Lena and Rebeca together?","Lena is 152 cm - 15 cm = <<152-15=137>>137 cm tall
Rebeca is 152 cm + 6 cm = <<152+6=158>>158 cm tall
So, the total height of Lena and Rebeca would be 137 cm + 158 cm = <<137+158=295>>295 cm.
#### 295",3,2149
684,684,Grace can read a 200-page book in 20 hours. How long would it take her to finish reading a 250-page book at this constant rate?,"Grace can read 200/20 = <<200/20=10>>10 pages in 1 hour.
So she can finish a 250-page book in 250/10 = <<250/10=25>>25 hours.
#### 25",4,1163
1534,1534,A library has a number of books. 35% of them are intended for children and 104 of them are for adults. How many books are in the library?,"65% of the library books are for adults because 100 - 35 = <<100-35=65>>65
There are 160 library books in total because 104 / .65 = <<104/.65=160>>160
#### 160",0,1049
5079,5079,Connor is taking his date to the movies.  The tickets cost $10.00 each.  They decided to get the large popcorn & 2 drink combo meal for $11.00 and each grab a box of candy for $2.50 each.  How much will Connor spend on his date?,"The tickets cost $10.00 each and he has to buy 2 tickets so that's 10*2 = $<<10*2=20.00>>20.00
They each grab a box of candy that's $2.50 a box so that will cost 2*2.50 = $<<2*2.50=5.00>>5.00
The tickets cost $20.00, the candy is $5.00 and the combo will is $11.00 so Connor will spend 20+5+11 = $<<20+5+11=36.00>>36.00 during his date
#### 36",1,2846
5777,5777,"For the family reunion, Peter is buying 16 pounds of bone-in chicken and half that amount in hamburgers.  He's going to buy 2 more pounds of hot dogs than hamburgers.  He's also going to buy several sides that will weigh half the amount of hot dogs.  How many pounds of food will he buy?","He is buying 16 pounds of chicken and half that amount in hamburgers so he's buying 16/2 = <<16/2=8>>8 pounds of hamburgers
He's going to buy 2 more pounds of hotdogs than hamburgers, which are 8 pounds so he'll have 2+8 = <<2+8=10>>10 pounds of hot dogs
He's going to buy sides that weigh half the amount of the hot dogs so that's 10/2 = <<10/2=5>>5 pounds of sides
He's buying 16 pounds of chicken, 8 pounds of hamburgers, 10 pounds of hot dogs and 5 pounds of sides for a total of 16+8+10+5 = <<16+8+10+5=39>>39 pounds of food
#### 39",2,2788
3757,3757,"In 5 years, Heath will be 3 times as old as Jude.  If Heath is 16 years old today, how old is Jude today?","In 5 years, Heath will be 16 + 5 = <<16+5=21>>21 years old.
In 5 years, Jude will be 21 / 3 = <<21/3=7>>7 years old.
The difference in their ages is 21 - 7 = <<21-7=14>>14 years.
Today, Jude will be 16 - 14 = <<16-14=2>>2 years old.
#### 2",3,870
1900,1900,"Peyton Manning throws a football 20 yards when the temperature is 50 degrees Fahrenheit, but the ball moves twice as far when the temperature is 80 degrees Fahrenheit. Last Saturday, the temperature was 50 degrees Fahrenheit, and he threw the ball twenty times. On Sunday, the temperature rose to 80 degrees Fahrenheit, and he threw the ball 30 times. Calculate the total number of yards he threw the ball in the two days.","On Saturday, he threw the ball 20 times, and since the temperature was 50 degrees, he could throw only 20 yards, totaling 20*20 = <<20*20=400>>400 yards.
On Sunday, the temperature favored him, and he threw the ball twice the distance he could throw on Saturday, which is 2*20 = <<2*20=40>>40 yards.
If he threw the ball 30 times, he threw for 30*40 = <<30*40=1200>>1200 yards.
In the two days, he threw 1200+400 = <<1200+400=1600>>1600 yards.
#### 1600",4,2352
3630,3630,"A construction company is building 2 apartment buildings with 12 floors each. The apartments are almost ready to sell but all of them need doors to be completed. Each floor has 6 apartments, and each apartment needs 7 doors in total. How many doors does the company need to buy?","The number of floors is 12 floors/building x 2 buildings = 24 floors
The number of apartments is 6 apartments/floor x 24 floors = <<6*24=144>>144 apartments
The company has to buy 7 doors/apartment x 144 apartments = <<7*144=1008>>1008 doors
#### 1008",0,1827
7413,7413,"Company A and Company B merge. Company A receives 60% of the combined profits under the new merger, and company B receives 40% of the profits. If company B gets a total of $60000 in profit, how much does company A get?","Let the total profit of both companies be denoted by x.
Therefore, 40% * x = 0.4 * x = $60000
So x = $60000 / 0.4 = $150000.
If Company B gets 60 % of the profits, it gets 60% of $150000, which is 0.6 * $150000 = $<<0.6*150000=90000>>90000.
#### 90000",1,4009
1899,1899,"At the new store, there are 3 times as many grape candies as cherry candies, and 2 times as many apple candies as grape candies. All the candies cost $2.50 each. If the total cost of the candies is $200, how many grape candies does the store have?","Total number of candies is 200/2.5=<<200/2.5=80>>80 candies.
Let x be the number of cherry candies.
There are 3*x grape candies.
There are 2*3*x=6*x apple candies.
x+3*x+6*x=80
10*x=80
x=<<8=8>>8
There are 8*3=<<8*3=24>>24 grape candies.
#### 24",2,5184
6499,6499,"Tricia is a third of Amilia’s age and Amilia is a quarter of Yorick’s age. Yorick is twice Eugene’s age and Khloe is a third of Eugene’s age. Rupert is 10 years older than Khloe but 2 years younger than Vincent who is 22 years old. How old, in years, is Tricia?","Rupert is younger than Vincent by 2 years, so he is 22 years old – 2 years = <<22-2=20>>20 years old.
Khloe is 10 years younger than Rupert so she is 20 years old – 10 years = 10 years old.
Eugene is 3 times older than Khloe so he is 10 years old * 3 = <<10*3=30>>30 years old.
Yorick is twice Eugene’s age so he is 30 years old * 2 = <<30*2=60>>60 years old.
Amilia is a quarter of Yorick’s age so she is 60 years old / 4 = <<60/4=15>>15 years old.
Tricia is a third of Amilia’s age so she is 15 years old / 3 = <<15/3=5>>5 years old.
#### 5",3,2287
3400,3400,"Rodney, Roger and Ron can lift a combined weight of 239 pounds.  Rodney can lift twice as much as Roger, and Roger can lift 7 pounds less than 4 times the amount that Ron can lift.  How much can Rodney lift?","Let x represent the amount that Ron can lift.
Roger: 4x-7
Rodney:2(4x-7)=8x-14
Total:x+4x-7+8x-14=239
13x-21=239
13x=260
x=<<20=20>>20
Rodney:8(20)-14=146 pounds
#### 146",4,1766
