,question,choices,answer,unit,table_title,table,table_for_pd,row_num,column_num,solution,ques_type,ans_type,grade,split,cluster,index
27875,The transportation company tracked the number of train tickets sold in the past 7 days. What is the range of the numbers?,,23,,Train tickets sold,"Day | Number of tickets
Monday | 36
Tuesday | 43
Wednesday | 46
Thursday | 59
Friday | 37
Saturday | 46
Sunday | 51","{'Day': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'Number of tickets': ['36', '43', '46', '59', '37', '46', '51']}",8,2,"Read the numbers from the table.

36, 43, 46, 59, 37, 46, 51

First, find the greatest number. The greatest number is 59.

Next, find the least number. The least number is 36.

Subtract the least number from the greatest number:

59 − 36 = 23

The range is 23.",free_text,integer_number,5,train,0,14605
24226,A pottery factory kept track of the number of broken plates per shipment last week. How many shipments had exactly 73 broken plates?,,2,shipments,Broken plates per shipment,"Stem | Leaf 
4 | 2, 7, 9, 9, 9
5 | 1
6 | 9
7 | 2, 2, 3, 3, 5
8 | 
9 | 0","{'Stem': ['4', '5', '6', '7', '8', '9'], 'Leaf ': ['2, 7, 9, 9, 9', '1', '9', '2, 2, 3, 3, 5', '', '0']}",7,2,"For the number 73, the stem is 7, and the leaf is 3. Find the row where the stem is 7. In that row, count all the leaves equal to 3.

You counted 2 leaves, which are blue in the stem-and-leaf plot above. 2 shipments had exactly 73 broken plates.",free_text,integer_number,8,train,1,1975
23269,Kylie has $0.05. Does she have enough to buy a small pink bead and a purple and red clay bead?,"['yes', 'no']",no,,,"purple and red clay bead | $0.02
small pink bead | $0.04
pearl bead | $0.07
round silver bead | $0.01
brown cat's eye bead | $0.08
orange glass bead | $0.07","{'Column 1': ['purple and red clay bead', 'small pink bead', 'pearl bead', 'round silver bead', ""brown cat's eye bead"", 'orange glass bead'], 'Column 2': ['$0.02', '$0.04', '$0.07', '$0.01', '$0.08', '$0.07']}",6,2,"Add the price of a small pink bead and the price of a purple and red clay bead:

$0.04 + $0.02 = $0.06

$0.06 is more than $0.05. Kylie does not have enough money.",multi_choice,boolean_text,4,train,2,5337
34320,"Look at the table. Then answer the question. At a price of $885, is there a shortage or a surplus?","['shortage', 'surplus']",surplus,,,"Price | Quantity demanded | Quantity supplied
$165 | 17,900 | 6,400
$345 | 15,100 | 8,900
$525 | 12,300 | 11,400
$705 | 9,500 | 13,900
$885 | 6,700 | 16,400","{'Price': ['$165', '$345', '$525', '$705', '$885'], 'Quantity demanded': ['17,900', '15,100', '12,300', '9,500', '6,700'], 'Quantity supplied': ['6,400', '8,900', '11,400', '13,900', '16,400']}",6,3,"At the price of $885, the quantity demanded is less than the quantity supplied. There is too much of the good or service for sale at that price. So, there is a surplus.
",multi_choice,boolean_text,5,train,3,2865
22781,Look at the following schedule. Doug just missed the 3.00 A.M. train at Chickenville. How long does he have to wait until the next train?,"['6 hours and 30 minutes', '6 hours and 45 minutes', '8 hours and 45 minutes', '9 hours']",9 hours,,Train schedule,"Chickenville | 3:00 A.M. | 12:00 P.M. | 3:30 P.M.
Floral Gardens | 3:45 A.M. | 12:45 P.M. | 4:15 P.M.
Pleasant River Campground | 4:45 A.M. | 1:45 P.M. | 5:15 P.M.
Happy Cow Farm | 5:15 A.M. | 2:15 P.M. | 5:45 P.M.
Rocky Ravine Town | 5:45 A.M. | 2:45 P.M. | 6:15 P.M.","{'Column 1': ['Chickenville', 'Floral Gardens', 'Pleasant River Campground', 'Happy Cow Farm', 'Rocky Ravine Town'], 'Column 2': ['3:00 A.M.', '3:45 A.M.', '4:45 A.M.', '5:15 A.M.', '5:45 A.M.'], 'Column 3': ['12:00 P.M.', '12:45 P.M.', '1:45 P.M.', '2:15 P.M.', '2:45 P.M.'], 'Column 4': ['3:30 P.M.', '4:15 P.M.', '5:15 P.M.', '5:45 P.M.', '6:15 P.M.']}",5,4,"Find 3:00 A. M. in the row for Chickenville.

Look for the next train in that row.

The next train is at 12:00 P. M.

Find the elapsed time. The elapsed time is 9 hours.",multi_choice,other_text,4,train,4,8180
15803,The members of the track team compared how many miles they ran last week. What is the mean of the numbers?,,7,,Running miles,"Name | Miles
Colton | 10
Elijah | 7
Tiana | 8
Matt | 5
Omar | 8
Ivan | 8
Leslie | 3","{'Name': ['Colton', 'Elijah', 'Tiana', 'Matt', 'Omar', 'Ivan', 'Leslie'], 'Miles': ['10', '7', '8', '5', '8', '8', '3']}",8,2,"Read the numbers from the table.

10, 7, 8, 5, 8, 8, 3

First, count how many numbers are in the group.

There are 7 numbers.

Now add all the numbers together:

10 + 7 + 8 + 5 + 8 + 8 + 3 = 49

Now divide the sum by the number of numbers:

49 ÷ 7 = 7

The mean is 7.",free_text,integer_number,6,train,0,7255
17583,Sixth graders at Campbell Middle School are taught in classes of various sizes. How many more students are in Mr. East's class than Mr. Center's class?,,3,students,Sixth grade classes,"Teacher | Girls | Boys
Mr. Center | 16 | 10
Miss West | 17 | 20
Mrs. South | 16 | 16
Ms. North | 11 | 9
Mr. East | 12 | 17","{'Teacher': ['Mr. Center', 'Miss West', 'Mrs. South', 'Ms. North', 'Mr. East'], 'Girls': ['16', '17', '16', '11', '12'], 'Boys': ['10', '20', '16', '9', '17']}",6,3,"Add the numbers in the Mr. East row. Then, add the numbers in the Mr. Center row.

Mr. East: 12 + 17 = 29
Mr. Center: 16 + 10 = 26

Now subtract:

29 − 26 = 3

3 more students are in Mr. East's class than Mr. Center's class.",free_text,integer_number,4,train,1,2572
35975,Olivia has $14.00. Does she have enough to buy a denim skirt and a purple T-shirt?,"['yes', 'no']",yes,,,"long-sleeved shirt | $7.00
purple T-shirt | $8.00
red sweater | $4.00
denim skirt | $6.00
pair of jeans | $4.00
pink sweater | $9.00","{'Column 1': ['long-sleeved shirt', 'purple T-shirt', 'red sweater', 'denim skirt', 'pair of jeans', 'pink sweater'], 'Column 2': ['$7.00', '$8.00', '$4.00', '$6.00', '$4.00', '$9.00']}",6,2,"Add the price of a denim skirt and the price of a purple T-shirt:

$6.00 + $8.00 = $14.00

Since Olivia has $14.00, she has just enough money.",multi_choice,boolean_text,4,train,2,13048
18334,"Look at the table. Then answer the question. At a price of $755, is there a shortage or a surplus?","['shortage', 'surplus']",shortage,,,"Price | Quantity demanded | Quantity supplied
$435 | 22,700 | 3,700
$595 | 21,300 | 6,900
$755 | 19,900 | 10,100
$915 | 18,500 | 13,300
$1,075 | 17,100 | 16,500","{'Price': ['$435', '$595', '$755', '$915', '$1,075'], 'Quantity demanded': ['22,700', '21,300', '19,900', '18,500', '17,100'], 'Quantity supplied': ['3,700', '6,900', '10,100', '13,300', '16,500']}",6,3,"At the price of $755, the quantity demanded is greater than the quantity supplied. There is not enough of the good or service for sale at that price. So, there is a shortage.
",multi_choice,boolean_text,5,train,3,15467
36776,Look at the following schedule. When does Word Processing class begin?,"['10:55 A.M.', '7:00 A.M.', '3:05 P.M.', '7:35 A.M.']",7:00 A.M.,,Computer lab schedule,"Class | Begin | End
Word Processing | 7:00 A.M. | 7:30 A.M.
Spreadsheets | 7:35 A.M. | 9:05 A.M.
Introduction to Typing | 9:15 A.M. | 10:40 A.M.
Web Page Design | 10:55 A.M. | 12:05 P.M.
Computer Graphics | 12:20 P.M. | 2:00 P.M.
Beginning Programming | 2:15 P.M. | 3:00 P.M.
Computer Finance | 3:05 P.M. | 4:15 P.M.","{'Class': ['Word Processing', 'Spreadsheets', 'Introduction to Typing', 'Web Page Design', 'Computer Graphics', 'Beginning Programming', 'Computer Finance'], 'Begin': ['7:00 A.M.', '7:35 A.M.', '9:15 A.M.', '10:55 A.M.', '12:20 P.M.', '2:15 P.M.', '3:05 P.M.'], 'End': ['7:30 A.M.', '9:05 A.M.', '10:40 A.M.', '12:05 P.M.', '2:00 P.M.', '3:00 P.M.', '4:15 P.M.']}",8,3,"Find Word Processing class on the schedule. Find the beginning time for Word Processing class.

Word Processing: 7:00 A. M.",multi_choice,extractive_text,3,train,4,8494
1149,The parks department compared how many basketball hoops there are at each park. What is the range of the numbers?,,8,,Basketball hoops,"Park | Number of basketball hoops
Mooreland Park | 1
Linden Park | 5
Riverfront Park | 9
Heron Park | 5
Pinehurst Park | 1
Crestview Park | 2","{'Park': ['Mooreland Park', 'Linden Park', 'Riverfront Park', 'Heron Park', 'Pinehurst Park', 'Crestview Park'], 'Number of basketball hoops': ['1', '5', '9', '5', '1', '2']}",7,2,"Read the numbers from the table.

1, 5, 9, 5, 1, 2

First, find the greatest number. The greatest number is 9.

Next, find the least number. The least number is 1.

Subtract the least number from the greatest number:

9 − 1 = 8

The range is 8.",free_text,integer_number,7,train,0,9131
20161,"Tyler just downloaded the new game Gem Excavator on his phone. In the first level, Tyler gains points for each green gem he finds. However, he loses points for each red gem he finds. The table shows how the gems affect Tyler's points. Which color gem affects Tyler's points less?","['green', 'red']",green,,,"Gem color | Change in points
Green | 25
Red | -40","{'Gem color': ['Green', 'Red'], 'Change in points': ['25', '-40']}",3,2,"To find the gem that affects Tyler's points less, use absolute value. Absolute value tells you how much Tyler's points change for each color gem.
Green: |25| = 25
Red: |-40| = 40
Tyler gains 25 points for each green gem he finds, and he loses 40 points for each red gem he finds. So, the green gems affect Tyler's points less.",multi_choice,extractive_text,6,train,1,13288
19681,How much money does Ann need to buy 5 designer ball gowns and 9 designer coats?,,"91,011",$,,"designer handbag | $9,908.00
designer ball gown | $4,920.00
pair of designer shoes | $1,062.00
designer coat | $7,379.00","{'Column 1': ['designer handbag', 'designer ball gown', 'pair of designer shoes', 'designer coat'], 'Column 2': ['$9,908.00', '$4,920.00', '$1,062.00', '$7,379.00']}",4,2,"Find the cost of 5 designer ball gowns.

$4,920.00 × 5 = $24,600.00

Find the cost of 9 designer coats.

$7,379.00 × 9 = $66,411.00

Now find the total cost.

$24,600.00 + $66,411.00 = $91,011.00

Ann needs $91,011.00.",free_text,integer_number,7,train,2,3946
2159,The table shows a function. Is the function linear or nonlinear?,"['linear', 'nonlinear']",nonlinear,,,"x | y
18 | 20
19 | 16
20 | 7","{'x': ['18', '19', '20'], 'y': ['20', '16', '7']}",4,2,"To determine whether the function is linear or nonlinear, see whether it has a constant rate of change.
Pick the points in any two rows of the table and calculate the rate of change between them. The first two rows are a good place to start.
Call the values in the first row x1 and y1. Call the values in the second row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{16 - 20}{19 - 18}
 = \frac{-4}{1}
 = -4
Now pick any other two rows and calculate the rate of change between them.
Call the values in the second row x1 and y1. Call the values in the third row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{7 - 16}{20 - 19}
 = \frac{-9}{1}
 = -9
The rate of change is not the same for each pair of points. So, the function does not have a constant rate of change.
The function is nonlinear.",multi_choice,boolean_text,8,train,3,1575
22683,Look at the following schedule. Which activity begins at 10.20 A.M.?,"['scavenger hunt', 'hiking trip', 'quiet time', 'softball game']",quiet time,,Camp schedule,"Activity | Begin | End
softball game | 8:55 A.M. | 10:10 A.M.
quiet time | 10:20 A.M. | 10:55 A.M.
hiking trip | 11:05 A.M. | 12:45 P.M.
talent show | 12:50 P.M. | 2:25 P.M.
music class | 2:35 P.M. | 3:25 P.M.
scavenger hunt | 3:35 P.M. | 4:20 P.M.
canoeing class | 4:30 P.M. | 6:05 P.M.","{'Activity': ['softball game', 'quiet time', 'hiking trip', 'talent show', 'music class', 'scavenger hunt', 'canoeing class'], 'Begin': ['8:55 A.M.', '10:20 A.M.', '11:05 A.M.', '12:50 P.M.', '2:35 P.M.', '3:35 P.M.', '4:30 P.M.'], 'End': ['10:10 A.M.', '10:55 A.M.', '12:45 P.M.', '2:25 P.M.', '3:25 P.M.', '4:20 P.M.', '6:05 P.M.']}",8,3,Find 10:20 A. M. on the schedule. Quiet time begins at 10:20 A. M.,multi_choice,extractive_text,3,train,4,14219
22454,An athlete counted how many autographs he signed each day. What is the median of the numbers?,,4,,Autographs signed,"Day | Number of autographs
Friday | 2
Saturday | 9
Sunday | 4
Monday | 4
Tuesday | 10
Wednesday | 4
Thursday | 2","{'Day': ['Friday', 'Saturday', 'Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'Number of autographs': ['2', '9', '4', '4', '10', '4', '2']}",8,2,"Read the numbers from the table.

2, 9, 4, 4, 10, 4, 2

First, arrange the numbers from least to greatest:

2, 2, 4, 4, 4, 9, 10

Now find the number in the middle.

2, 2, 4, 4, 4, 9, 10

The number in the middle is 4.

The median is 4.",free_text,integer_number,6,train,0,3407
22051,A philanthropic organization compared the amounts of money that its members donated to certain causes. How much more did Barbara donate to animal rights than to job training?,,2,$,Donations,"Person | Animal rights | Job training
Chandler | $20 | $19
Barbara | $18 | $16
Sophie | $17 | $12","{'Person': ['Chandler', 'Barbara', 'Sophie'], 'Animal rights': ['$20', '$18', '$17'], 'Job training': ['$19', '$16', '$12']}",4,3,"Find the Barbara row. Find the numbers in this row for animal rights and job training.

animal rights: $18.00
job training: $16.00

Now subtract:

$18.00 − $16.00 = $2.00

Barbara donated $2 more to animal rights than to job training.",free_text,integer_number,4,train,1,7790
31119,"How much money does Porter need to buy a silver bow, a big blue button, and a purple bow?",,0.15,$,,"big blue button | $0.04
silver bow | $0.07
red ribbon | $0.06
purple bow | $0.04
pair of googly eyes | $0.04","{'Column 1': ['big blue button', 'silver bow', 'red ribbon', 'purple bow', 'pair of googly eyes'], 'Column 2': ['$0.04', '$0.07', '$0.06', '$0.04', '$0.04']}",5,2,"Find the total cost of a silver bow, a big blue button, and a purple bow.

$0.07 + $0.04 + $0.04 = $0.15

Porter needs $0.15.",free_text,decimal_number,4,train,2,2889
16596,The table shows a function. Is the function linear or nonlinear?,"['linear', 'nonlinear']",linear,,,"x | y
18 | 20
19 | 10
20 | 0","{'x': ['18', '19', '20'], 'y': ['20', '10', '0']}",4,2,"To determine whether the function is linear or nonlinear, see whether it has a constant rate of change.
Pick the points in any two rows of the table and calculate the rate of change between them. The first two rows are a good place to start.
Call the values in the first row x1 and y1. Call the values in the second row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{10 - 20}{19 - 18}
 = \frac{-10}{1}
 = -10
Now pick any other two rows and calculate the rate of change between them.
Call the values in the first row x1 and y1. Call the values in the third row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{0 - 20}{20 - 18}
 = \frac{-20}{2}
 = -10
The two rates of change are the same.
10.
This means the rate of change is the same for each pair of points. So, the function has a constant rate of change.
The function is linear.",multi_choice,boolean_text,8,train,3,7190
22924,Look at the following schedule. When does Architecture class end?,"['3:15 P.M.', '8:40 A.M.', '8:10 A.M.', '9:40 A.M.']",8:40 A.M.,,Class schedule,"Subject | Begin | End
Architecture | 8:10 A.M. | 8:40 A.M.
Spanish Literature | 9:00 A.M. | 9:40 A.M.
Basketball | 10:15 A.M. | 11:30 A.M.
Chinese | 11:40 A.M. | 12:10 P.M.
Essay Writing | 12:50 P.M. | 2:10 P.M.
Ancient Greek | 2:15 P.M. | 3:15 P.M.","{'Subject': ['Architecture', 'Spanish Literature', 'Basketball', 'Chinese', 'Essay Writing', 'Ancient Greek'], 'Begin': ['8:10 A.M.', '9:00 A.M.', '10:15 A.M.', '11:40 A.M.', '12:50 P.M.', '2:15 P.M.'], 'End': ['8:40 A.M.', '9:40 A.M.', '11:30 A.M.', '12:10 P.M.', '2:10 P.M.', '3:15 P.M.']}",7,3,"Find Architecture class on the schedule. Find the end time for Architecture class.

Architecture: 8:40 A. M.",multi_choice,extractive_text,3,train,4,13068
1612,Olivia graphed the daily low temperature for 7 days. What is the median of the numbers?,,9,,Daily low temperature,"Day | Temperature (Â°C)
Thursday | 8
Friday | 7
Saturday | 10
Sunday | 5
Monday | 10
Tuesday | 10
Wednesday | 9","{'Day': ['Thursday', 'Friday', 'Saturday', 'Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'Temperature (Â°C)': ['8', '7', '10', '5', '10', '10', '9']}",8,2,"Read the numbers from the table.

8, 7, 10, 5, 10, 10, 9

First, arrange the numbers from least to greatest:

5, 7, 8, 9, 10, 10, 10

Now find the number in the middle.

5, 7, 8, 9, 10, 10, 10

The number in the middle is 9.

The median is 9.",free_text,integer_number,7,train,0,5912
12121,"Danny is the proud owner of an eclectic bow tie collection. He keeps track of how many bow ties he has, and organizes them by pattern and material. What is the probability that a randomly selected bow tie is designed with swirls and is made of cotton? Simplify any fractions.",,3/20,,," | Velvet | Cotton
Zigzags | 7 | 5
Swirls | 5 | 3","{'': ['Zigzags', 'Swirls'], 'Velvet': ['7', '5'], 'Cotton': ['5', '3']}",3,3,"Let A be the event ""the bow tie is designed with swirls"" and B be the event ""the bow tie is made of cotton"".
To find the probability that a bow tie is designed with swirls and is made of cotton, first identify the sample space and the event.
The outcomes in the sample space are the different bow ties. Each bow tie is equally likely to be selected, so this is a uniform probability model.
The event is A and B, ""the bow tie is designed with swirls and is made of cotton"".
Since this is a uniform probability model, count the number of outcomes in the event A and B and count the total number of outcomes. Then, divide them to compute the probability.

Find the number of outcomes in the event A and B.
A and B is the event ""the bow tie is designed with swirls and is made of cotton"", so look at the table to see how many bow ties are designed with swirls and are made of cotton.
The number of bow ties that are designed with swirls and are made of cotton is 3.

Find the total number of outcomes.
Add all the numbers in the table to find the total number of bow ties.
7 + 5 + 5 + 3 = 20

Find P(A and B).
Since all outcomes are equally likely, the probability of event A and B is the number of outcomes in event A and B divided by the total number of outcomes.
P(A and B) = \frac{# of outcomes in A and B}{total # of outcomes}
 = \frac{3}{20}
The probability that a bow tie is designed with swirls and is made of cotton is \frac{3}{20}.",free_text,decimal_number,8,train,1,4960
3047,How much money does Xavier need to buy 4 Quarter horses and 7 Clydesdale horses?,,"40,766",$,,"Quarter horse | $6,877.00
Andalusian horse | $3,352.00
Clydesdale horse | $1,894.00
Thoroughbred horse | $1,554.00
Appaloosa horse | $2,869.00
Arabian horse | $8,838.00","{'Column 1': ['Quarter horse', 'Andalusian horse', 'Clydesdale horse', 'Thoroughbred horse', 'Appaloosa horse', 'Arabian horse'], 'Column 2': ['$6,877.00', '$3,352.00', '$1,894.00', '$1,554.00', '$2,869.00', '$8,838.00']}",6,2,"Find the cost of 4 Quarter horses.

$6,877.00 × 4 = $27,508.00

Find the cost of 7 Clydesdale horses.

$1,894.00 × 7 = $13,258.00

Now find the total cost.

$27,508.00 + $13,258.00 = $40,766.00

Xavier needs $40,766.00.",free_text,integer_number,7,train,2,15785
